Hugh Rose, 1st Baron Strathnairn|హ్యూ రోజ్, 1 వ బారన్ స్ట్రాత్నార్న్
Robert Napier, 1st Baron Napier of Magdala|రాబర్ట్ నేపియర్, 1స్ట  బారో నేపియర్ అఫ్ మాగ్డాలా
Nicanor Parra|నికొనార్‌ పారా
E. B. White|ఇ బి వైట్
G. M. C. Balayogi|జి. ఎం. సి. బాలయోగి
Thol. Thirumavalavan|తిరుమవళవన్
Motilal Nehru|మోతీలాల్ నెహ్రూ
Azim Premji|అజీమ్ ప్రేమ్‌జీ
Vilayanur S. Ramachandran|విలయనూర్ ఎస్. రామచంద్రన్
George Stubbs|జార్జ్ స్టబ్స్
Mangal Pandey|మంగళ్ పాండే
Aryabhata II|ఆర్యభట్ట II
Henning Holck-Larsen|హెన్నింగ్ హోల్క్-లార్సెన్
Katie Smith|కెటీ స్మిత్
Nayantara Sahgal|నయనతార సహ్గల్
Bairam Khan|బైరం ఖాన్
Taryn Southern|తారిన్ సదరన్
Candrakīrti|చంద్రకీర్తి
Surya Sen|సూర్య సేన్
Saina Nehwal|సైనా నెహ్వాల్
Padmini|పద్మిని
Nancy Friday|నాన్సీ ఫ్రైడే
Meena Kumari|మీనా కుమార
Mira Nair|మీరా నాయర్
Mahadevi Varma|మహాదేవి వర్మ
Kiran Mazumdar-Shaw|కిరణ్ మజుందార్-షా
Ashwini Ponnappa|అశ్విని పొన్నప్ప
Ali Akbar Khan|ఆలీ అక్బర్ ఖాన్
John Nicholson|జాన్ నికోల్సన్
Asin|ఆసిన్
Karunanidhi|కరుణానిధి
Bhaskara-I|మొదటి భాస్కరుడు
Mohan Agashe|మోహన్ అగాషె
Jack Black|జాక్ బ్లాక్
Parimarjan Negi|పరిమార్జన్ నేగి
Edward FitzGerald|ఎడ్వర్డ్ ఫిట్జ్‌జెరాల్డ్
Tanuja Chandra|తనూజ చంద్ర
Chanel Preston|చానెల్ ప్రెస్టన్
Nur Jahan|నూర్జహాన్
Jahandar Shah|జహందర్ షా
Bahadur Shah I|మొదటి బహదూర్ షా
Thakazhi Sivasankara Pillai|తకళి శివశంకర పిళ్ళై
Śāntarakṣita|శాంతరక్షిత
B. K. S. Iyengar|బి. కె. ఎస్. అయ్యంగార్
M. F. Husain|ఎం.ఎఫ్. హుసేన్
Musaylimah|ముసేలిమాహ్
Jagdish Bhagwati|జగదీశ్ భగవతి
Jackie Shroff|జాకీ ష్రాఫ్
Pulakeshin II|రెండవ పులకేశి
Kulothunga Chola II|రెండవ కులోత్తుగ చోళుడు
Abbakka Chowta|రాణి అబ్బక్క
Mir Akbar Ali Khan Sikander Jah, Asaf Jah III|సికిందర్ జా
U. R. Ananthamurthy|యు.ఆర్.అనంతమూర్తి
Ashok Mehta|అశోక్ మెహతా
Sanjay Gandhi|సంజయ్ గాంధీ
White Town|వైట్ టౌన్
Pooja Bhatt|పూజ భట్
Payel Sarkar|పాయెల్ సర్కార్
Vinod Dham|వినోద్ ధామ్
Billy Arjan Singh|బిల్లీ అర్జన్ సింగ్
Ramcharan|రామ్ చరణ్
Parameshvara|పరమేశ్వరుడు (గణిత శాస్త్రవేత్త)
Manuel Aaron|మాన్యువెల్ ఆరన్
Tapan Sinha|తపన్ సిన్హా
Robert Christopher Tytler|రాబర్ట్ క్రిస్టోఫర్ టైట్లర్
Vadivelu|వడివేలు
Jordan Eberle|జోర్డాన్ ఎబెర్లె
George Henry Mackenzie|జార్జ్ హెన్రీ మాకేంజీ
Ramesh Krishnan|రమేశ్ కృష్ణన్
Nagesh|నగేష్
Larry Tesler|లారీ టెస్లర్
Kapil Sibal|కపిల్ సిబల్
Diogo Rodrigues|డియాగో రోడ్రిగ్స్
Dirk Thiele|డిర్క్ తిఎల్
Chintamani Nagesa Ramachandra Rao|చింతామణి నాగేష రామచంద్ర రావు
Yasodharman|యశోధర్ముడు
Gautamiputra Satakarni|శాలివాహనుడు
Edvard Mirzoyan|ఎడ్వార్డ్ మిర్జోయాన్
Chavundaraya|చావుండరాయ
Paul Brunton|పాల్ బ్రంటన్
Richard Flanagan|రిచర్డ్‌ ఫ్లానాగన్‌
João de Castro|జోఅయో డి కాస్ట్రో
Erik Paartalu|ఎరిక్ పార్తలు
Glenn Cunningham|glenncunningham history
Kharavela|ఖారవేలుడు
Goparaju Ramachandra Rao|గోపరాజు రామచంద్ర రావు
Jayachamarajendra Wadiyar|జయచామరాజ వడయార్ బహదూర్
Kundan Lal Saigal|కుందన్ లాల్ సైగల్
Fatehsinghrao Gaekwad|ఫతే సింగ్ రావ్ గేయక్వాడ్
Yajnavalkya|యాజ్ఞవల్క మహర్షి
Jagjivan Ram|జగ్జీవన్ రాం
Gene Deitch|జీన్‌ డీచ్
Georges van Vrekhem|జార్జెస్ వాన్ వ్రేకేమ్
Hyder Ali|హైదర్ అలీ
Ashfaqulla Khan|అష్ఫాకుల్లా ఖాన్
Rohini Hattangadi|రోహిణీ హట్టంగడి
Kalpana Saroj|కల్పనా సరోజ్
Keith Ballard|కీత్ బల్లార్డ్
Silk Smitha|సిల్క్ స్మిత
Chithira Thirunal Balarama Varma|చితిర తిరునాల్ బలరామ వర్మ
Lisa Stanew|లిసా స్టానెవ్
Sukumar Azhikode|సుకుమార్ అళిక్కోడ్
Lothian Nicholson|లోథియాన్ నికోల్సన్
Mohan Lal Sukhadia|మోహన్ లాల్ సుఖాడియా
Ramnidhi Gupta|రాంనిది గుప్తా
Sugriva|సుగ్రీవుడు
U. Srinivas|ఉప్పలపు శ్రీనివాస్
Paidi Jairaj|పైడి జైరాజ్
Sadhana Sargam|సాధనా సర్గం
P. Susheela|పి. సుశీల
Shweta Mohan|శ్వేత మోహన్
Mamta Mohandas|మమతా మోహన్ దాస్
Mohanlal|మోహన్ లాల్
Hansika Motwani|హన్సికా మోట్వాని
Nallari Kiran Kumar Reddy|నల్లారి కిరణ్ కుమార్ రెడ్డి
N. Ramani|ఎన్. రమణి
Shiraz Minwalla|షిరాజ్ మిన్‍వాలా
Manoj Kumar|మనోజ్ కుమార్
Vallabha Acharya|వల్లభాచార్యుడు
Reema Sen|రీమా సేన్
Pallonji Mistry|పల్లోంజీ షాపూర్‌జీ మిస్త్రీ
Sangamitta|సంఘమిత్ర
Baji Rao I|బాజీరావు
Johannes Diderik van der Waals jr.|జోహాన్నెస్ దిదేరిక్ వాన్ దర్ వాల్స్
Jamsheed Quli Qutb Shah|జంషీద్ కులీ కుతుబ్ షా
Sikandar Lodi|సికిందర్ లోడి
E. Krishna Iyer|ఈ. క్రిష్ణ అయెర్
George St Patrick Lawrence|జార్జ్ సెయింట్ పాట్రిక్ లారెన్స్
Santosh Sivan|సంతోష్ శివన్
Ramakrishna Gopal Bhandarkar|రామకృష్ణ గోపాల్ భండార్కర్
Śuka|శుకుడు
Rabbi Shergill|రబ్బీ షెర్గిల్
Subba Row|తల్లాప్రగడ సుబ్బారావు
Pannalal Patel|పన్నాలాల్ పటేల్
Birsa Munda|బిర్సా ముండా
Pandurang Shastri Athavale|పాండురంగ శాస్త్రి అత్తవాలె
