Richard Owen|இரிச்சர்டு ஓவன்
Amānullāh Khān|அமனுல்லாகான்
Albert Bandura|ஆல்பர்ட் பாண்டுரா
Norman Borlaug|நார்மன் போர்லாக்
Louis Néel|இலூயீ நீல்
Eugene Wigner|யூஜின் விக்னர்
Sir George Stokes, 1st Baronet|ஜார்ஜ் கேப்ரியல் ஸ்டோக்ஸ்
Twosret|அரசி டூஸ்ரெத்
Merneptah|மெர்நெப்தா
Amenhotep II|இரண்டாம் அமென்கோதேப்
Kirron Kher|கிர்ரான் கெர்
Aruna Irani|அருணா இரானி
Manoj Bajpai|மனோஜ் பாஜ்பயீ
Chulalongkorn|சுலலாங்கொர்ன்
John Napier|ஜான் நேப்பியர்
Hipparchus|ஹிப்பார்க்கஸ்
Angela Davis|அஞ்செலா டேவிசு
Eusebius|யூசேபியஸ்
Hideki Tojo|கிடேக்கி தோஜோ
Edward Gibbon|எட்வார்ட் கிப்பன்
Khufu|கூபு
Alberto Moravia|ஆல்பர்டோ மொராவியா
Jefferson Davis|ஜெபர்சன் டேவிஸ்
Zosimus|சோசிமஸ்
William Shockley|வில்லியம் ஷாக்லி
Paulo Freire|பாவ்லோ பிரையர்
Usher|அஷர்
Gregory IV|நான்காம் கிரகோரி
Robert Frost|றொபேட் ஃவ்றொஸ்ற்
Shaquille O'Neal|சக்கீல் ஓனீல்
Andreas Vesalius|ஆண்ட்ரியசு வெசாலியசு
Omar Sharif|ஒமார் சரீப்
Benedict V|ஐந்தாம் பெனடிக்ட்
T. E. Lawrence|டி. ஈ. லாரன்சு
Bāṇabhaṭṭa|பாணபட்டர்
Diodorus Siculus|டயோடோரஸ் சிகியூலஸ்
Aishwarya R. Dhanush|ஐசுவர்யா ரசினிகாந்த் தனுஷ்
Ötzi|ஏட்சி பனிமனிதன்
Colin Farrell|கோலின் பார்ரெல்
Samuel L. Jackson|சாமுவேல் எல். ஜாக்சன்
Veselin Topalov|டோப்பலோவ்
Ice Cube|ஐஸ் கியூப்
Paul Erdős|பால் ஏர்டோசு
