Fred Astaire|ফ্রেড অ্যাস্টেয়ার
Alexander VIII|পোপ অষ্টম আলেকজান্ডার
John Starlight|জন স্টারলাইট
Paul Berg|পল বার্গ
Darius III|তৃতীয় দারিয়ুস
Jennifer Connelly|জেনিফার কনেলি
Steven Soderbergh|স্টিভেন সোডারবার্গ
Mickey Rooney|মিকি রুনি
Mohamed Naguib|মুহাম্মদ নজিব
Jack Szostak|জ্যাক শসট্যাক
Sidney Sheldon|সিডনি শেলডন
Tom Clancy|টম ক্ল্যানসি
Bonnie Wright|বোনি রাইট
Rod Laver|রড লেভার
Holly Hunter|হলি হান্টার
William Hurt|উইলিয়াম হার্ট
Marion Bartoli|মারিওন বারতোলি
Ei-ichi Negishi|এই-ইচি নেগিশি
Charles Boyer|শার্ল বোয়ায়ে
Samuel Pepys|স্যামুয়েল পেপিস
John Cusack|জন কিউস্যাক
Otto Schlüter|অটো শ্লুটার
Richard F. Heck|রিচার্ড এফ. হেক
Saul Perlmutter|সল পার্লমাটার
Mirza Ghalib|মির্জা গালিব
Mary Harris Jones|মেরি হ্যারিস জোন্স
Christiaan Eijkman|ক্রিশ্চিয়ান এইকমেন
Jean Simmons|জিন সিমন্স
Gregory Peck|গ্রেগরি পেক
James Garner|জেমস গার্নার
Thomas A. Steitz|থমাস এ. স্টিত্‌জ
William Giauque|উইলিয়াম ফ্রান্সিস জিওক
Stanford Moore|স্টানফোর্ড মুর
Joey King|জোয়ী কিং
Karim El Ahmadi|করীম এল আহমাদি
Thomas Baines|থমাস বেইন্স
Julen Lopetegui|হুলেন লোপেতেগি
Akihiro Yamaguchi|আকিহিরো ইয়ামাগুচি
Howard Zinn|হাওয়ার্ড জিন
Ibn Qayyim Al-Jawziyya|ইবনে কাইয়িম
Sailen Manna|শৈলেন মান্না
Colonel Sanders|কর্নেল স্যান্ডার্‌স
Krishnadevaraya|কৃষ্ণদেবরায়
Callixtus I|পোপ প্রথম ক্যালিক্সটাস
Charles II of England|দ্বিতীয় চার্লস
Alfred Werner|আলফ্রেড ওয়ের্নার
