Josh Hutcherson|जश हचर्सन
Nicholas Sparks|निकोलस स्पार्कस्
George Canning|जोर्ज क्यानिङ
Rachel Bilson|रेचल बिल्सन
Lily Collins|लिली कोलिन्स
Carlos Gardel|कार्लोस गारडेल
Bhimrao Ramji Ambedkar|बाबासाहेब आम्बेडकर
William John Macquorn Rankine|विलियम जोन म्याक्युर्न रेङ्किन
Madhuri Dixit|माधुरी दीक्षित
Gina Carano|जिना क्यारानो
Teagan Presley|टिगन प्रेस्ली
Atal Bihari Vajpayee|अटल बिहारी वाजपेयी
Gemma Ward|जेम्मा वार्ड
Emilia Clarke|एमिलिया क्लार्क
Sara Foster|सारा माइकल फोस्टर
Sophie Jonas|सोफी टर्नर
Cristina Bella|क्रिस्टिना बेल्ला
Riyo Mori|रियो मोरी
Alexis Amore|एलेक्सिस अमोरे
Lal Bahadur Shastri|लालबहादुर शास्त्री
Marin Čilić|मारिन सिलिच
Alena Zavarzina|एलेना जाभर्जिना
Ally Sheedy|एल्ली सिडी
Hina Rabbani Khar|हिना रब्बानी खर
Cindy Crawford|सिन्डी क्रफोर्ड
Kasturba Gandhi|कस्तूरबा गान्धी
Lotta Schelin|लोत्ता सिलिन
Hyapatia Lee|ह्यापासिया ली
Jeffrén Suárez|जफ्रिन सोरेज
Leon Osman|लियोन अोसमेन
Matvey Skobelev|मात्भेइ स्कोबेलेभ
Charaka|चरक
Adrenalynn|एड्रियाना लेन
Malaika Arora|मलाइका अरोडा खान
Dirk Kuyt|डर्क कुइट
Miranda Otto|मिरेन्डा अट्टो
Arnold Vosloo|आर्नोल्ड भास्लो
Sami Al-Jaber|सामी अल-जाबर
Alan Duncan|एलन डंकन
Brendan Rodgers|ब्रेन्डन रोजर्स
Kei Nishikori|केई निशिकोरी
Tyrese Gibson|टाइरिस गिवसन
Donnie Yen|डोनी येन
Javad Nekounam|जाभेद नेकोउनाम
Julian Draxler|जुलियन ड्राक्सलर
Fakhruddin Ali Ahmed|फ़ख़रुद्दीन अली अहमद
Abhimanyu|अभिमन्यु (अर्जुनपुत्र)
Mary Kom|मेरी कोम
Shruti Haasan|श्रुति हासन
Nazrul Islam|काजी नजरुल इसलाम
Ram Swarup|राम स्वरूप
Mandakini|मन्दाकिनी
Marek Grechuta|मराक गुरसुता
Jules Guesde|जूल गेद
Shahid Afridi|साहिद अफ्रिदी
Mangal Pandey|मंगल पांडे
Tanner Mayes|टान्नर मेज
Aryabhata II|आर्यभट
Akshaye Khanna|अक्षय खन्ना
Sonia Baby|सोनिया बेबी
