Steve Irwin|ಸ್ಟೀವ್ ಇರ್ವಿನ್
Amalie Bensinger|ಅಮಲಿಯೇ  ಬೆಂಸಿಂಗೇರ್
Albert A. Michelson|ಆಲ್ಬರ್ಟ್ ಎ.ಮೈಕೆಲ್‍ಸನ್
Bahadur Shah Zafar|ಬಹಾದುರ್ ಶಾಹ್ ಜಫರ್
Adelaide Lambert|ಅಡಿಲೇಡ್ ಲ್ಯಾಂಬರ್ಟ್
Humphry Davy|ಹಂಫ್ರಿ ಡೇವಿ
Sania Mirza|ಸಾನಿಯಾ ಮಿರ್ಜಾ
Amber Valletta|ಅಂಬರ್  ವಲ್ಲೆತ್ತ
Nawaz Sharif|ನವಾಜ್ ಶರೀಫ್
Erik Axel Karlfeldt|ಎರಿಕ್ ಎಕ್ಸೆಲ್ ಕಾರ್ಲ್‍ಫೆಲ್ಟ್
Danny Boyle|ಡ್ಯಾನಿ ಬೋಯ್ಲೆ
William Somerset Maugham|ವಿಲಿಯಮ್ ಸೋಮರ್ಸೆಟ್ ಮೌಮ್
Alice Drummond|ಆಲಿಸ್  ದೃಮ್ಮೊನ್ಡ್
Mahasweta Devi|ಮಹಾಶ್ವೇತಾ ದೇವಿ
Alena Melicharová|ಅಲೆನ  ಮೇಲಿಛಾರೋವೈ
Anastassia Morkovkina|ಅನಸ್ತಸ್ಸಿಯಾ ಮಾರ್ಕೊವ್ಕಿನ
Gunnar Myrdal|ಗುನ್ನಾರ್ ಮಿರ್ಡಾಲ್
Josiah Willard Gibbs|ಗಿಬ್ಸ್, ಜೋಸಯಾ ವಿಲಾರ್ಡ್
Albert Bandura|ಆಲ್ಬರ್ಟ್ ಬಂಡೂರ
Norman Borlaug|ನಾರ್ಮನ್ ಬೊರ್ಲಾಗ್
Eugene Wigner|ಯುಜೆನ್ ಪೌಲ್ ವಿಗ್ನರ್
Kirron Kher|ಕಿರಣ್ ಖೇರ್
Aruna Irani|ಅರುಣ ಇರಾನಿ
John Napier|ಜಾನ್ ನೇಪಿಯರ್
Edward Gibbon|ಗಿಬ್ಬನ್, ಎಡ್ವರ್ಡ್
Khufu|ಕುಫು
Alexander Borodin|ಅಲೆಕ್ಸಾಂಡರ್ ಪೋರ್ಫಿರ್‌ಏವಿಚ್ ಬೋರೋದಿನ್
Philip Kotler|ಫಿಲಿಪ್ ಕೋಟ್ಲರ್
Carlo Goldoni|ಗಾಲ್ಡೋನಿ, ಕಾರ್ಲೋ
Ana Castillo|ಅನಾ  ಕ್ಯಾಸ್ಟಿಲ್ಲೊ
Robert Frost|ರಾಬರ್ಟ್ ಫ್ರಾಸ್ಟ್
Carl David Anderson|ಕಾರ್ಲ್ ಡಿ.ಆಂಡರ್ಸನ್
Henry James|ಹೆನ್ರಿ ಜೇಮ್ಸ್
Omar Sharif|ಒಮರ್ ಶೆರೀಫ್
Bāṇabhaṭṭa|ಬಾಣಭಟ್ಟ
Aishwarya R. Dhanush|ಐಶ್ವರ್ಯ ಆರ್ ಧನುಷ್
Aisling O'Sullivan|ಐಸಲಿಂಗ್  ಓ'ಸುಲ್ಲಿವನ್
Amanirenas|ಅಮಾಣಿರೇನಸ್
Peter Sellers|ಪೀಟರ್ ಸೆಲ್ಲರ್ಸ್
Agyness Deyn|ಅಜಿನೆಸ್ಸ್  ಡೆಯ್ನ್
Ursula K. Le Guin|ಉರ್ಸುಲಾ ಕ್ರೋಬೆರ್ ಲೆ ಗುಯಿನ್
Nicolas Carnot|ನಿಕೊಲಾಸ್ ಲಿಯೊನಾರ್ಡ್ ಸಾಡಿ ಕಾರ್ನೋ
Ramakrishna|ರಾಮಕೃಷ್ಣ ಪರಮಹಂಸ
Ilya Prigogine|ಇಲ್ಯಾ ಪ್ರಿಗೋಜಿನ್
Walter Houser Brattain|ವಾಲ್ಟರ್ ಹೌಸೆರ್ ಬಟ್ಟೇನ್
Adele Girard|ಅಡೆಲೇ ಗಿರಾರ್ಡ್
Alexis Carrel|ಅಲೆಕ್ಸಿಸ್ ಕರೆಲ್
Alfred Kinsey|ಆಲ್ಫ್ರೆಡ್ ಚಾರಲ್ಸ್‌ ಕಿನ್ಸೆ
Anders Jonas Ångström|ಆಂಡರ್ಸ್ ಜೋನಾಸ್ ಆಂಗ್‌ಸ್ಟ್ರಾಮ್
Preity Zinta|ಪ್ರೀತಿ ಜಿಂಟಾ
E. M. Forster|ಇ.ಎಂ. ಫಾರ್ಸ್ಟರ್
Aristippus|ಆರಿಸ್ಟಿಪಸ್
Ivan Goncharov|ಇವ್ಯಾನ್ ಅಲಿಕ್ಸಾನ್‍ಡ್ರವಿಚ್ ಗನ್‍ಚೆರಾಫ್
Peter Ware Higgs|ಪೀಟರ್ ಹಿಗ್ಸ್
Sean Paul|ಸೀನ್ ಪಾಲ್
Ana Drev|ಅನಾ  ಡ್ರೆವ್
Angus Deaton|ಆಂಗಸ್ ಡೀಟನ್
Amir Khosrow|ಅಮೀರ್ ಖುಸ್ರೋ
Akira Toriyama|ಅಕಿರಾ ತೊರಿಯಾಮಾ
Agnes of Rome|ಆಗ್ನೆಸ್ ಒಫ್ ರೋಮ್
Andrea Fonseka|ಆಂಡ್ರಿಯಾ  ಫೋನ್ಸೆಕಾ
S. R. Nathan|ಎಸ್ ಆರ್ ನಾಥನ್
Hariprasad Chaurasia|ಹರಿಪ್ರಸಾದ್ ಚೌರಾಸಿಯಾ
Alcaeus of Mytilene|ಆಲ್ಸೀಯಸ್
Adwoa Yamoah|ಅಡವತ್ ಯಮೋಅಹ್
Werner Otto von Hentig|ವರ್ನರ್ ಒಟ್ಟೊ ವಾನ್ ಹೆಂಟಿಗ್
Johann Heinrich von Bernstorff|ಜೋಹಾನ್ ಹೆನ್ರಿಕ್ ವಾನ್ ಬರ್ನ್ಸ್ಟಾರ್ಫ್
John B. Watson|ಜಾನ್.ಬಿ.ವಾಟ್ಸನ್
Luis de Góngora|ಲೂಯಿಸ್ ಡೆ ಗೊಂಗೊರಾ
Kyra Sedgwick|ಕೈರಾ ಸೆಡ್ವಿಕ್
Anastasiya Kuzmina|ಅನಸ್ತಸಿಯ  ಕುಜ್ಮಿನ
Amanda Righetti|ಅಮಂಡಾ ರೈಎತ್ತಿ
Adriana Karembeu|ಅಡ್ರಿಯಾನಾ ಕರೆಂಬೆಯು
Amber Tamblyn|ಅಂಬರ್ ಟಾಂಬ್ಲ್ಯ್ನ್
Bhimrao Ramji Ambedkar|ಡಾ. ಬಿ. ಆರ್. ಅಂಬೇಡ್ಕರ್
Mumtaz Mahal|ಮುಮ್ತಾಜ್ ಮಹಲ್
Alona Bondarenko|ಅಳೋಣ  ಬೋಂಡರೆಂಕೋ
Alicia de Larrocha|ಅಳಿಸಿಯಾ ಡಿ ಲಾರ್ರೋಚ
Madhuri Dixit|ಮಾಧುರಿ ದೀಕ್ಷಿತ್
Arne Tiselius|ಅರ್ನೆ ವಿಲ್ಹೆಲ್ಮ್ ಕೌರಿನ್ ಟಿಸೆಲಿಯಸ್
Atal Bihari Vajpayee|ಅಟಲ್ ಬಿಹಾರಿ ವಾಜಪೇಯಿ
Allisyn Ashley Arm|ಅಲ್ಲಿಸಿನ್  ಅಶ್ಲೇಯ್  ಆರ್ಮ್
Adelina Patti|ಅಡೆಲೀನ ಪಟ್ಟಿ
Alice Liddell|ಆಲಿಸ್ ಲಿಡ್ಡೆಲ್
Abigail Fillmore|ಅಭಿಘಾಯ್ಲ್ ಫಿಲ್ಮೋರೆ
Alla Nazimova|ಅಲ್ಲ  ನಝೀಮಾವ
Alicia Sacramone|ಅಳಿಸಿಯೇ  ಸಕ್ರಮೊನೆ
Emilia Clarke|ಎಮಿಲಿಯಾ ಕ್ಲಾರ್ಕ್
Amy Madigan|ಅಮಿ  ಮಾಡಿಗಂ
Afshan Azad|ಆಫ್ಷನ್ ಅಝಡ್
Agnes Baden-Powell|ಆಗ್ನೆಸ್ ಬಾಡೆನ್-ಪೊವೆಲ್
Ally Walker|ಅಲ್ಲೀ  ವಾಕರ್
Adrienne Clarkson|ಅಡ್ರಿಎಣ್ಣೆ ಕ್ಲಾರ್ಕ್ಸ್ವ್ನ್
Ana Blandiana|ಅನಾ ಬ್ಲ್ಯಾಂಡಿನ
Anastasia Vinnikova|ಅನಸ್ತಷ್ಯಾ  ವಿನ್ನಿಕೋವಾ
Agnes of France, Duchess of Burgundy|ಆಗ್ನೆಸ್  ಒಫ್  ಫ್ರಾನ್ಸ್ , ಡುಚೆಸ್ಸ್  ಒಫ್  ಬರಗುಂಡಿ
Adela of Normandy|ಅಡೆಲೇ ಒಫ್ ನಾರ್ಮ್ಯಾಂಡಿ
Amanda Plummer|ಅಮಂದ ಪ್ಲಮ್ಮರ್
Alfonsina Storni|ಅಲ್ಫಾನ್ಸಿನ ಸ್ಟಾರಿಣಿ
Anastasiya Yermakova|ಅನಸ್ತಸಿಯ  ಏರ್ಮಕೋವಾ
Ahhotep I|ಅಹ್ಹೊಟೇಪ್  ಐ
Sophie Jonas|ಸೊಫಿ ಟರ್ನರ್
Aki Toyosaki|ಅಕಿ  ಟೊಯೋಸಾಕಿ
Margaret Murray|ಮಾರ್ಗರೆಟ್ ಮುರ್ರೆ
Alexis Amore|ಅಲೆಕ್ಸಿಸ್  ಅಮೋರೆ
Lal Bahadur Shastri|ಲಾಲ್ ಬಹಾದುರ್ ಶಾಸ್ತ್ರಿ
Alena Arzamasskaia|ಅಲಿಯೋನಾ
Aldona of Lithuania|ಅಲ್ಡನ ಒಫ್ ಲಿಥುಅಣಿಯಾ
Alena Zavarzina|ಅಲೆನ ಝವೃಜಿನಾ
Amadea Palaiologina of Montferrat|ಅಮಾಡೀ  ಪ್ಲೈಓಳೊಗಿನ  ಒಫ್  ಮೊಂಟಿಫೆರ್ರತ್
Ana de la Reguera|ಅನಾ  ಡೇ  ಲ  ರೇಗುಎರಾ
Jamaluddin Ahmed|ಜಮಾಲುದ್ದೀನ್ ಅಹ್ಮದ್
Alexandra Hedison|ಅಲೆಕ್ಸಾಂಡ್ರಾ  ಹಿಡಿಸೋಣ
Arthur Wood|ಆರ್ಥರ್ ವುಡ್
Howard Johnson|ಹೋವರ್ಡ್ ಜಾನ್ಸನ್
Chhotu Ram|ಛೋಟು ರಾಮ್
Kasturba Gandhi|ಕಸ್ತೂರಬಾ ಗಾಂಧಿ
Tirumalai Krishnamacharya|ತಿರುಮಲೈ ಕೃಷ್ಣಮಚಾರ್ಯ
Margery Allingham|ಆಲಿಂಗ್ಯಾಮ್ ಮಾರ್ಜರಿ
Nancy Cunard|ನ್ಯಾನ್ಸಿ ಕುನಾರ್ಡ್
Urvashi|ಊರ್ವಶಿ
Charaka|ಚರಕ ಮಹರ್ಷಿ
Jonathan Fielding|ಜೋನಾಥನ್ ಫೀಲ್ಡಿಂಗ್
Richard Arkwright|ಸರ್ ರಿಚರ್ಡ್ ಆರ್ಕ್‍ರೈಟ್
Tom Hooper|ಟಾಮ್ ಹೂಪರ್
Tunku Abdul Rahman|ತುಂಕು ಅಬ್ದುಲ್ ರೆಹಮಾನ್
Nick Vujicic|ನಿಕ್ ವುಜಿಸಿಕ್
Arthur Henfrey|ಆರ್ಥರ್ ಹೆನ್ಫ್ರೆ
Bimbisara|ಬಿಂಬಿಸಾರ
Fakhruddin Ali Ahmed|ಫಕ್ರುದ್ದೀನ್ ಅಲಿ ಅಹ್ಮದ್
George Herbert|ಜಾರ್ಜ್ ಹರ್ಬರ್ಟ್
Sri Chinmoy|ಶ್ರೀ ಚಿನ್ಮೊಯ್
Jamsetji Tata|ಜಮ್‍ಸೆಟ್‍ಜಿ ನುಝರ್‍ವಾನ್‍ಜಿ ಟಾಟ
Atisha Dipankara|ಅತೀಶ ದೀಪಂಕರ
Abhimanyu|ಅಭಿಮನ್ಯು
Satish Dhawan|ಸತೀಶ್ ಧವನ್
Mary Kom|ಮೇರಿ ಕೋಮ್
Stafford Cripps|ರಿಚರ್ಡ್ ಸ್ಟ್ಯಾಫರ್ಡ್ ಕ್ರಿಪ್ಸ್‌
Nazrul Islam|ಕಾಜಿ ನಜ್ರುಲ್ ಇಸ್ಲಾಮ್
Edmund Allenby, 1st Viscount Allenby|ಅಲೆನ್ಬಿ ಎಡ್‌ಮಂಡ್‌ ಹೆನ್ರಿ ಹೈನ್‌ಮನ್‌
Ram Swarup|ರಾಮ್ ಸ್ವರೂಪ್
Robert Napier, 1st Baron Napier of Magdala|ರಾಬರ್ಟ್ ನೇಪಿಯರ್,
James Silk Buckingham|ಕಲ್ಕತ್ತ ಜರ್ನಲ್
Kit Harington|ಕಿಟ್ ಹ್ಯಾರಿಂಗ್ಟನ್
Norman Joseph Woodland|ನಾರ್ಮನ್ ಜೋಸೆಫ್ ವುಡ್‌ಲ್ಯಾಂಡ್
Andrew Marvell|ಆಂಡ್ರ್ಯೂ ಮಾರ್ವೆಲ್
Richard Thaler|ರಿಚರ್ಡ್ ಎಚ್. ಥೇಲರ್
Per Teodor Cleve|ಪೆರ್ ತಿಯೊಡೊರ್ ಕ್ಲೀವ್
Ajatasatru|ಅಜಾತಶತ್ರು
Harvey Williams Cushing|ಹಾರ್ವೆ ವಿಲಿಯಮ್ಸ್ ಕಷಿಂಗ್
Motilal Nehru|ಮೋತಿಲಾಲ್ ನೆಹರು
Azim Premji|ಅಜಿಮ್ ಪ್ರೇಮ್‍ಜಿ
Vilayanur S. Ramachandran|ಸುಬ್ರಮನಿಯನ್ ರಾಮಚಂದ್ರನ್
Mangal Pandey|ಮಂಗಲ್ ಪಾಂಡೆ
Dominique Strauss-Kahn|ಡೊಮಿನಿಕ್ ಸ್ಟ್ರಾಸ್ ಕಾನ್
Leela Majumdar|ಲೀಲಾ ಮಜುಂದಾರ್
Maxwell Anderson|ಮ್ಯಾಕ್ಸ್‌ವೆಲ್ ಆಂಡರ್ಸನ್
Nayantara Sahgal|ನಯನ್‌ತಾರಾ ಸಹ್‌ಗಲ್
Evelyn Underhill|ಎವೆಲಿನ್ ಅಂಡರ್ಹಿಲ್
Alexander Cunningham|ಅಲೆಕ್ಸಾಂಡರ್ ಕನಿಂಗ್ಹ್ಯಾಂ
Surya Sen|ಸೂರ್ಯ ಸೇನ್
Helen Dunmore|ಹೆಲನ್
Saina Nehwal|ಸೈನಾ ನೆಹವಾಲ್
Padmini|ಪದ್ಮಿನಿ
Meena Kumari|ಮೀನಾಕುಮಾರಿ
Mira Nair|ಮೀರಾ ನಾಯರ್
Mahadevi Varma|ಮಹಾದೇವಿ ವರ್ಮಾ
Kiran Mazumdar-Shaw|ಕಿರಣ್ ಮಜುಮ್ದಾರ್ -ಷಾ
Sujata Nahar|ಸುಜಾತಾ ನಹರ್
Ashwini Ponnappa|ಅಶ್ವಿನಿ ಪೊನ್ನಪ್ಪ
Vijay Amritraj|ವಿಜಯ್ ಅಮೃತ್ ರಾಜ್
Ali Akbar Khan|ಅಲಿ ಅಕ್ಬರ್ ಖಾನ್
John Nicholson|ಜಾನ್ ನಿಕೊಲ್ಸನ್
Robert Green Ingersoll|ರಾಬರ್ಟ್ ಗ್ರೀನ್ ಇಂಗರ್ಸಾಲ್
Asin|ಆಸಿನ್
Karunanidhi|ಎಂ ಕರುಣಾನಿಧಿ
Georg Brandt|ಜಾರ್ಜ್ ಬ್ರಾಂಡ್
Mohan Agashe|ಮೋಹನ್ ಅಗಾಶೆ
Alastair Cook|ಅಲಾಸ್ಟೇರ್ ಕುಕ್
