Anke Kühn|അങ്കെ കുഹ്നെ
Luca Pacioli|ലൂക്കാ പസിയോളി
Auguste Schmidt|അഗസ്റ്റെ ഷ്മിത്ത്
Ton Roosendaal|ടോൺ റൂസൻഡാൽ
Butler Lampson|ബട്ലർ ലാപ്സൺ
Yukihiro Matsumoto|യുകിഹിരോ മാറ്റ്സുമോട്ടോ
Klaus Samelson|ക്ലോസ് സാമൽസൺ
Lawrence Roberts|ലാറി റോബർട്ട്സ്
Bob Frankston|ബോബ് ഫ്രാങ്സ്റ്റൺ
Hilary Swank|ഹിലാരി സ്വാങ്ക്
Chaman Lal Chaman|ചമൻ ലാൽ ചമൻ
Norma Shearer|നോമ ഷേറെർ
Fred Astaire|ഫ്രഡ് ആസ്റ്റെയർ
Paul Berg|പോൾ ബെർഗ്
Darius III|ദാരിയൂസ് III
Jennifer Connelly|ജെന്നിഫർ‍ കോന്നെല്ലി
Steven Soderbergh|സ്റ്റീവൻ സോഡർബർഗ്
Mohamed Naguib|മുഹമ്മദ് നജീബ്
Jack Szostak|ജാക്ക്. ഡബ്ല്യൂ. ഷോസ്റ്റാക്ക്
Sidney Sheldon|സിഡ്നി ഷെൽഡൻ
Bonnie Wright|ബോണി റൈറ്റ്
Ei-ichi Negishi|ഐച്ചി നെഗീഷി
Arius|അരിയൂസ്
John Cusack|ജോൺ കുസാക്ക്
Alexander Khalifman|അലക്സാണ്ടർ ഖലിഫ്മൻ
Richard F. Heck|റിച്ചാർഡ് എഫ്. ഹെക്ക്
Mirza Ghalib|ഗാലിബ്
Mary Harris Jones|മേരി ഹാരിസ് ജോൺസ്
Markus Weise|മാർക്കസ് വെയിസ്
Maurice Utrillo|മോറീസ് ഉത്രില്ലൊ
Gregory Peck|ഗ്രിഗറി പെക്ക്
Dagobert I|ഡാഗോബർട്ട്
Howard Zinn|ഹൊവാർഡ് സിൻ
Anne of Great Britain|ആനി രാജ്ഞി
Sailen Manna|ശൈലേന്ദ്രനാഥ് മന്ന
Krishnadevaraya|കൃഷ്ണദേവരായർ
Charles II of England|ചാൾസ് രണ്ടാമൻ
Alfred Werner|ആൽഫ്രെഡ് വെർണർ
Charles Édouard Guillaume|ചാൾസ് എഡ്വേർഡ് ഗിയോം
Emil Abderhalden|എമിൽ അബ്ദെർഹാൽഡെൻ
Gianni Infantino Riovaldi|ജിയാനി ഇൻഫന്റിനോ
Steve Irwin|സ്റ്റീവ് ഇർവിൻ
Albert A. Michelson|ആൽബർട്ട് അബ്രഹാം മൈക്കിൾസൺ
Bahadur Shah Zafar|ബഹദൂര്‍ ഷാ സഫര്‍
Luke the Evangelist|ലൂക്കാ
Maria Zankovetska|മരിയ സാങ്കോവെറ്റ്‌സ്ക
Damasus I|ദമാസൂസ് ഒന്നാമൻ
Dionysius|വിശുദ്ധ ഡയണീഷ്യസ്
Zulfiqar Ali Bhutto|സുൽഫിക്കർ അലി ഭൂട്ടോ
Humphry Davy|ഹംഫ്രി ഡേവി
Sania Mirza|സാനിയ മിർസ
Willem de Kooning|വില്ലെം ഡി കൂനിംഗ്
Karl Urban|കാൾ അർബൻ
Susan Sarandon|സൂസൻ സരാൻഡൻ
Sylvia Plath|സിൽവിയ പ്ലാത്ത്
Mohamed ElBaradei|മുഹമ്മദ്‌ എൽബറാദി
Banksy|ബാങ്ക്സി
Nawaz Sharif|നവാസ് ഷെരീഫ്
Yukio Mishima|യൂക്കിയോ മിഷിമ
Abdul Hamid II|അബ്ദുൽ ഹമീദ് II
Danny Boyle|ഡാനി ബോയൽ
William Somerset Maugham|സോമർസെറ്റ് മോം
Gertrude Atherton|ഗെർ‌ട്രൂഡ് ആതർ‌ട്ടൺ
Park Geun-hye|പാർക് ഗ്യുൻ ഹൈ
William Amherst, 1st Earl Amherst|വില്ല്യം ആംഹേഴ്സ്റ്റ്
Mahasweta Devi|മഹാശ്വേതാ ദേവി
Baby Halder|ബേബി ഹാൾഡർ
John Bosco|ജോൺ ബോസ്‌കോ
Zao Wou-Ki|സാവോ വു കി
Yang Liwei|യാങ് ലീവെയ്
Edgar Rice Burroughs|എഡ്ഗാർ റൈസ് ബറോസ്
Anthony van Dyck|ആന്റണി വാൻ ഡിക്
Mikhail Khodorkovsky|മിഖായേൽ ഖോദൊർക്കോവിസ്ക്കി
