Narendra Hirwani|ନରେନ୍ଦ୍ର ହିରୱାନୀ
Mirabehn|ମିରାବେନ
Rudrama Devi|ରୁଦ୍ରମା ଦେବୀ
Emilie Schenkl|ଏମିଲି ଶେଙ୍କଲ
Kakkanadan|କକ୍କାନନ୍ଦନ
Harmanpreet Kaur|ହରମନପ୍ରୀତ କୌର
Shiv Sunder Das|ଶିବସୁନ୍ଦର ଦାସ
M. J. Gopalan|ଏମ ଜେ ଗୋପାଳନ
Ajit Pai|ଅଜିତ ମନୋହର ପାଇ
Ramesh Saxena|ରମେଶ ସକସେନା
Sukumari|ସୁକୁମାରୀ
Nadhiya|ନାଦିଆ
Sudhir Naik|ସୁଧୀର ନାଏକ
Tripuraneni Gopichand|ତ୍ରିପୁରାନେନୀ ଗୋପିଚାନ୍ଦ
Bajrang Lal Takhar|ବଜରଙ୍ଗ ଲାଲ ତଖର
Rakhi Sawant|ରାଖୀ ସାୱନ୍ତ
Jiah Khan|ଜିୟା ଖାନ
Deep Joshi|ଦୀପ ଜୋଶୀ
Irawati Karve|ଇରାୱତୀ କର୍ୱେ
V. M. Tarkunde|ବିଠ୍ଠଲ ମହାଦେବ ତାରକୁଣ୍ଡେ
R. P. Singh|ରୁଦ୍ର ପ୍ରତାପ ସିଂହ
Dattopant Thengadi|ଦନ୍ତୋପନ୍ତ ଠେଙ୍ଗଡ଼ୀ
Sri Lal Sukla|ଶ୍ରୀଲାଲ ଶୁକ୍ଳ
Ali Sardar Jafri|ଅଲୀ ସର୍ଦାର ଜାଫରୀ
Lalit Narayan Mishra|ଲଳିତ ନାରାୟଣ ମିଶ୍ର
Krishna Sobti|କୃଷ୍ଣା ସୋବତୀ
Rajendra Kumar|ରାଜେନ୍ଦ୍ର କୁମାର
Kapila Vatsyayan|କପିଳ ବାତ୍ସାୟନ
Kalyan Singh|କଲ୍ୟାଣ ସିଂହ
Barkha Dutt|ବରଖା ଦତ୍ତ
Raghuvansh Prasad Singh|ରଘୁବଂଶ ପ୍ରସାଦ ସିଂହ
Bansi Lal|ବଂଶୀଲାଲ
Gopabandhu Das|ଗୋପବନ୍ଧୁ ଦାସ
Santokh Singh Dhir|ସନ୍ତୋଖ ସିଂହ ଧୀର
Pablo Bartholomew|ପାବଲୋ ବାର୍ଥୋଲୋମିଉ
Bharathi Vishnuvardhan|ଭାରତୀ ବିଷ୍ଣୁବର୍ଧନ
Vulimiri Ramalingaswami|ବୁଲିମିରି ରାମଲିଙ୍ଗସ୍ୱାମୀ
Srinivasa Rao Srirangam|ଶ୍ରୀନିବାସ ରାଓ ଶ୍ରୀରଙ୍ଗମ
Godabarish Mishra|ଗୋଦାବରୀଶ ମିଶ୍ର
Ravindra Prabhat|ରବୀନ୍ଦ୍ର ପ୍ରଭାତ
Santanu Kumar Acharya|ଶାନ୍ତନୁ କୁମାର ଆଚାର୍ଯ୍ୟ
Ebrahim Alkazi|ଇବ୍ରାହିମ ଅଲକାଜୀ
A. D. Loganathan|ଏ.ଡି. ଲୋଗନାଥନ
A. Marthanda Pillai|ଏ ମାର୍ଥାନ୍ଦ ପିଲ୍ଲାଇ
Aarti Chhabria|ଆରତୀ ଛାବ୍ରିଆ
Abbas Tyabji|ଅବ୍ବାସ ତ୍ୟାବ୍ଜୀ
Abdul Hafiz Mohamed Barakatullah|ଅବଦୁଲ ହାଫିଜ ମହମ୍ମଦ ବରକତଉଲ୍ଲା
Abhijit Mukherjee|ଅଭିଜିତ ମୁଖାର୍ଜୀ
Abhinaya|ଅଭିନୟା
Achyut Kanvinde|ଅଚ୍ୟୁତ କନଭିନ୍ଦେ
Adah Sharma|ଅଦା ଶର୍ମା
Aditya Roy Kapur|ଆଦିତ୍ୟ ରାୟ କପୁର
Ajay Bhatt|ଅଜୟ ଭଟ୍ଟ
Alia Bhatt|ଆଲିଆ ଭଟ୍ଟ
Allu Rama Lingaiah|ଆଲ୍ଲୁ ରାମା ଲିମଗାଇଆହ
Alvin Kallicharran|ଆଲ୍ଭିନ କାଲିଚରଣ
Alyque Padamsee|ଆଲିକ ପଦମସୀ
Amin Kamil|ଅମିନ କାମିଲ
Amritlal Nagar|ଅମୃତଲାଲ ନାଗର
Anita Raj|ଅନୀତା ରାଜ
Anju Chaudhuri|ଅଞ୍ଜୁ ଚୌଧୁରୀ
Ankita Bhambri|ଅଙ୍କିତା ଭାମ୍ବରୀ
Ankita Raina|ଅଙ୍କିତା ରାଇନା
Annu Tandon|ଅନୁ ଟଣ୍ଡନ
Anugrah Narayan Sinha|ଅନୁଗ୍ରହ ନାରାୟଣ ସିଂହ
Anuja Jung|ଅନୁଜା ଜଙ୍ଗ
Anuradha Mehta|ଅନୁରାଧା ମେହଟା
Aparajita Mohanty|ଅପରାଜିତା ମହାନ୍ତି
Diana Penty|ଡାଏନା ପେଣ୍ଟୀ
Arjun Prajapati|ଅର୍ଜୁନ ପ୍ରଜାପତି
Arundathi Nag|ଅରୁନ୍ଦତି ନାଗ
Arundhati Virmani|ଅରୁନ୍ଧତୀ ବିର୍ମାନୀ
Ashok Chakradhar|ଅଶୋକ ଚକ୍ରଧର
Ashok Kumar Pradhan|ଅଶୋକ କୁମାର ପ୍ରଧାନ
Ashok Malik|ଅଶୋକ ମାଲିକ
Ashok Ramchandra Kelkar|ଅଶୋକ ରାମଚନ୍ଦ୍ର କେଲକର
Asif Basra|ଆସିଫ ବସରା
Asit Sen|ଅସିତ ସେନ
Atmaram Ravaji Deshpande|ଆତ୍ମାରାମ ରାବାଜୀ ଦେଶପାଣ୍ଡେ
Avinash|ଅବିନାଶ
Azad Moopen|ଆଜାଦ ମୁପେନ
B. C. Patil|ବି ସି ପାଟୀଲ
B. N. Suresh|ବି ଏନ ସୁରେଶ
Bhuvaraghan Palaniappan|ଭୁବରାଘବନ ପଲାନିଆପ୍ପନ
B. Ravi Pillai|ବି ରବି ପିଲ୍ଲଇ
B. S. Mardhekar|ବି. ଏସ୍. ମର୍ଧେରକର
