Aari|આરી
Abbas Tyabji|અબ્બાસ તૈયબજી
Abbas Zaryab|અબ્બાસ ઝરિયાબ
Abhijit Mukherjee|અભિજીત મુખર્જી
Addison Bain|એડિસનબેન
Adin Falkoff|એડિન ફાલ્કોફ
Ali Shamsi Pasha|pasa jeil
Alia Bhatt|આલિયા ભટ્ટ
Alladi Ramakrishnan|અલાદી રામક્રિષ્નન
Alyque Padamsee|અલીક પદમશી
Amin Kamil|અમીન કામિલ
Amrapali Dubey|આમ્રપાલી દુબે
Anchal Sabharwal|આંચલ સબરવાલ
Angela Jonsson|એન્જેલા જોનસન
Anita Raj|અનિતા રાજ
Ankan Sen|અંકન સેન
Ankita Raina|અંકિતા રૈના
Arthur E. Bryson|આર્થર ઇ. બ્રાયસન
Arthur Emmons Raymond|આર્થર ઇમોન્સ રેમન્ડ
Arthur W. Murphy|આર્થર ડબલ્યુ. મર્ફી
Aswath Damodaran|અસ્વથ દામોદરન
B. Ravi Pillai|બી. રવિ પિલ્લાઈ
B. Sriramulu|બી૰ શ્રીરામુલુ
Badarayana|બાદરાયણ
Berthold Ribbentrop|બર્થોલ્ડ રિબેન્ટ્રોપ
Bhagwandas Patel|ભગવાનદાસ પટેલ
Bhimjee Parikh|ભીમજી પરીખ
Bhulabhai Desai|ભુલાભાઈ દેસાઈ
Bill Parkyn|બિલ પાર્કિન
Bir Bikram Kishore Debbarman|વીર વિક્રમ કિશોર
Bishnu Pada Ray|વિષ્ણુ પદ રાય
Chandrakant Raghunath Patil|સી આર પાટિલ
Chhabildas Mehta|છબીલદાસ મહેતા
Chitrabhanu|ચિત્રભાનુ
Christian Pike|ક્રિશ્ચિયન પાઇક
Dahyabhai Patel|ડાહ્યાભાઈ પટેલ
Damayanti Joshi|દમયંતી જોશી
Dana D. Nelson|ડાના ડી નેલ્સન
Daniel Callahan|ડેનિયલ કૈલહન
David Dalrymple|ડેવિડ ડાલ્રિમ્પલ
David Wilcock|ડેવિડ વિલકોક
Dewang Mehta|દેવાંગ મહેતા
Dilbagh Singh|દિલબાગસિંહ
Dinesh Kumar Mani|દિનેશકુમાર મણી
H. S. S. Lawrence|એચ. એસ. એસ. લોરેન્સ
Har Dayal|લાલા હરદયાળ
Harshal Pushkarna|હર્ષલ પુષ્કર્ણા
Rita Chowdhury|રીટા ચૌધરી
Ram Vilas Paswan|રામવિલાસ પાસવાન
Jayant Parmar|જયન્ત પરમાર
Jayanta Bandyopadhyay|જયંતા બંદ્યોપધ્યાય
Jayshreeben Patel|પટેલ જયશ્રીબેન કનુભાઈ
Jitendra Singh|જિતેન્દ્ર સિંહ
Jyoti Kirit Parikh|જ્યોતિ કિરીટ પરીખ
K. Kavitha|કલવાકુન્ટ્લ કવિતા
K. N. Ramchandran|કે૰એન૰ તિરુ રામચન્દ્રન
K. R. Srinivasa Iyengar|કે. આર. શ્રીનિવાસ અય્યંગર
Kamla Devi Patle|કમલા દેવી પટલે
Kristappa Nimmala|ક્રિસ્ટપ્પા નિમ્મલા
Kumar|કુમાર
Laxmi Narayan Tripathi|લક્ષ્મી નારાયણ ત્રિપાઠી
Ramakanta Rath|રમાકાન્ત રથ
Navdeep Singh|નવદીપ સિંઘ
M. K. Binodini Devi|એમ. કે. વિનોદિનીદેવી
M. Ramalingam|એમ. રામલિંગમ
M. Thambi Durai|એમ૰ તંબીદુરૈ
Madhavi Sardesai|માધવી સરદેસાઈ
Mahesh Dattani|મહેશ દત્તાણી
Malchand Tiwari|માલચંદ તિવારી
Manjit Tiwana|મનજીત ટિવાણા
Mansoor Amjad|મન્સૂર અમજદ
Manvendra Singh|માનવેન્દ્ર સિંહ
Marina Iqbal|મરિના ઇકબાલ
Mi. Pa. Somasundaram|પી. મા. સોમુસુંદરમ
Mohammad Akram|મોહમ્મદ અકરમ
Mina Swaminathan|મીના સ્વામિનાથન
Miran Bux|મિરન બક્સ
Mohamad Abdul Tayyab|મોહમદ અબ્દુલ તૈયબ
Mohammad Ansari|મોહમ્મદ અંસારી
Mohammad Irshad|મોહમ્મદ ઇર્શાદ
Mohammad Laeeq|મોહમ્મદ લઈક
Mohammad Naeem|મોહમ્મદ નઇમ
Mohammad Naeem|મોહમ્મદ નઇમ
Mohammad Naeem|મોહમ્મદ નઇમ
Mohammad Ramzan|મોહમ્મદ રમઝાન
Mohan Kundariya|મોહન કુન્દરિયા
Narayan Desai|નારાયણ દેસાઈ
Narendra Singh Tomar|નરેન્દ્ર સિંહ તોમર
Nilmani Phookan (Junior)|નિલમણી ફૂકન
Norman Anil Kumar Browne|નોર્મન અનિલકુમાર બ્રાઉને
Ponnusamy Venugopal|પી૰ વેણુગોપાલ
Pappu Yadav|પપ્પૂ યાદવ
Pashupati Nath Singh|પશુપતિનાથ સિંહ
Pervin Shroff|પરવીન શ્રોફ
Pooja Gaur|પુજા ગોર
Prabhudas Patwari|પ્રભુદાસ પટવારી
Raj Kaushal|રાજ કૌશલ
Ramesh Oza|રમેશભાઈ ઓઝા
Rangasami L. Kashyap|રંગસામી એલ. કશ્યપ
Ranjitram Mehta|રણજિતરામ મહેતા
Rashmi Bansal|રશ્મિ બંસલ
