Nicolaus Copernicus|ڪوپرنيڪس
Wangari Muta Maathai|ونگاري مئٿائي
Euripides|يوري پيڊيز
Bal Thackeray|بال ٺاڪري
Abu Hurairah|ابو ھريره
Akhenaten|اخناتون
Guru Nanak|گُرو نانِڪ
Jan van Eyck|يان وين آئيڪ
Al-Mukhtar|مختار الثقفي
Lata Mangeshkar|لتا منگيشڪر
Mohammad Ali Jinnah|محمد علي جناح
Alizée|اليزي
Fatimah|فاطمه زهرا
Abū Ḥanīfa|امام ابو حنيفه
Syed Ahmed Khan|سيد احمد خان
Alexandra Daddario|اليگزينڊرا داداريو
Hecataeus of Miletus|ھيڪتايوس
Aminah|آمنه بنت وهب
Anoushka Shankar|انوشڪا شنڪر
Safiyya bint Huyayy|صفيه بنت حيي
Mazdak|مزدڪ
Dihya|ديهيا ڪاهنا
Abbas ibn Ali|عباس بن علي
Abbas ibn Abd al-Muttalib|عباس بن عبد المطلب
Qutb-ud-din Aibak|قطب الدين ايبڪ
Jeff Bezos|جيف بيزوس
Aurel Stein|ارل اسٽين
Murtaza Bhutto|مرتضيٰ ڀٽو
Abu Ayyub al-Ansari|ابو ايوب انصاري
Abu Bakr|ابوبڪر
Mahākāśyapa|مها ڪيشپ
Abu Salama 'Abd Allah ibn 'Abd al-Asad al-Makhzumi|ابو سلمہ عبد الله مخزومي
Gilbert Elliot-Murray-Kynynmound, 4th Earl of Minto|لارڊ منٽو
Zac Goldsmith|زيڪ گولڊ سمٿ
Akhtar Hameed Khan|اختر حميد خان
Rayhana bint Zayd ibn ʿAmr|ريحانه بنت زيد
Alka Yagnik|الڪا ياگنڪ
Sonu Nigam|سونو نگم
Prithviraj Chauhan|پرٿويراج چوهاڻ
Harkishan Singh Surjeet|ھرڪشن سنگھ سرجيت
Allu Arjun|اللو ارجن
Dimitris Liantinis|گيما ڊيمتري
Ashfaq Parvez Kayani|اشفاق پرويز ڪياني
Abu Dharr al-Ghifari|ابوذر غفاري
Halimah bint Abi Dhuayb|حليمه سعديه
Usama ibn Zayd|اسامه بن زيد
David in Islam|داؤد عليہ السلام
Ibn al-Nadim|ابن النديم
Uwais Qarni|اويس قرني
Asma Jahangir|عاصمه جھانگير
Isma'il ibn Jafar|اسماعيل بن جعفر
Ma Huateng|ما ھُئا تينگ
Sawda bint Zamʿa|سوده بنت زمعه
Natascha Berg|نتاشا برگ
Govinda|گووندا
Nimr al-Nimr|نمر باقر النمر
Vidyapati|ودياپتي
Mirza Aslam Beg|مرزا اسلم بيگ
Kiran Bedi|ڪرن بيدي
Sharda Sinha|شاردا سنھا
Lucky Diamond Rich|لڪي ڊائمنڊ رچ
William Hewson|وليم ھيوسن
Ernest Cimon|ارنيسٽ سائمن
Kumar Sanu|ڪمار سانو
Ahmed Ghulamali Chagla|احمد جي چاڳلا
Joko Widodo|جوڪو ودودو
Asad Rauf|اسد رؤف
Wahiduddin Khan|مولانا وحيدالدين
J. B. Kripalani|آچاريه ڪرپالاڻي
Pathanay Khan|پٺاڻي خان
Mustansar Hussain Tarar|مستنصر حسن تارڙ
Uzair|عزير عليہ السلام
Azim Daudpota|عظيم دائودپوٽو
Dong Mingzhu|ڊونگ منگجو
Abul Khair Kashfi|ابوالخير ڪشفي
Adriaan van der Willigen|Adriaan van der Willigen
Adriaan van der Willigen Pz.|Adriaan van der Willigen Pz.
Adriaen Foly|Adriaen Foly
Ahmed Shehzad|احمد شهزاد
Akhtar Chanal Zahri|اختر چنل زھري
Muhammad Akhter Mengal|اختر مينگل
Altaf Husain|الطاف حسين قريشي
Amar Sindhu|امر سنڌو
Arbab Ghulam Rahim|ارباب غلام رحيم
Ashraf W. Tabani|اشرف ڊبليو. تاباني
Bari Imam|امام بري
Budhal Faqir|ٻڍل فقير
Dollah Darya Khan|دولھ دريا خان
Evan James|ايڇ. اي. ايم. جيمس
Ghulam Ali Allana|جي. الانا
Ghulam Hussain Hidayatullah|غلام حسين ھدايت الله
Fatemeh Rahbar|فاطما رهبر
Jalaluddin Surkh-Posh Bukhari|سيد جلال الدين شير شاھ سرخ پوش بخاري
Jaswinder Brar|جسويندر برار
|سيد شفقت حسين شاھ
Mata Tripta|ماتا ترپتا
Mustafa Qureshi|مصطفيٰ قريشي
Muzafar Bhutto|مظفر ڀٽو
Naseem Kharal|نسيم کرل
Nayakuralu Nagamma|نايڪورالو ناگما
Sawan Fakir|سانوڻ فقير
Sheila Ramani|شيلا راماڻي
Sohrab Fakir|سھراب فقير
Syed Sibghatullah Shah Rashdi III|پير پاڳارو اٺون
Thomas Penn|ٿامس پين
Sushant Singh Rajput|سوشانت سنگھ راجپوت
Anoushay Abbasi|انوشي عباسي
Khalid Mahmud Arif|خالد محمود عارف
Mahtab Kaur|مهتاب ڪور
Shah Abdul Karim Bulri|شاه ڪريم
Gullu Butt|گلو بٽ
Ahmad Khan Madhosh|احمد خان مدهوش
Iqbal Qadri|اقبال قادري
Junayd ibn Abd al-Rahman al-Murri|جنيد بن عبدالرحمٰن
Jan Pawlowski|Jan Pawlowski
Mariam Mukhtar|مريم مُختيار
Raaz Nathanshahi|راز ناٿن شاهي
Lionel Cavin|Lionel Cavin
|الياس عشقي
Tahira Naqvi|طاهره نقوي
Tanveer Abbasi|تنوير عباسي
Jalal Chandio|جلال چانڊيو
Mohammed Yousuf|محمد يوسف
Shamsuddin Bulbul|شمس الدين بلبل
Mohan Kalpana|موهن ڪلپنا
Jean-Philippe Anstett|Jean-Philippe Anstett
|سجاد يوسف
|انور فگار هڪڙو
Taj Sehrai|تاج صحرائي
|خواجه عبدالغفار نقشبندي
|ممتاز لاشاري
|آغا صوفي
|آفتاب احمد شيخ
Ibrahim Jalees|ابراهيم جليس
Syed Sulaiman Shah|سيد سليمان شاهه
|حميد ابڙو
|علامه مستانو سيھواڻي ابڙو
|مخدوم ابو محمد ھالائي
|ابو الفضل نور احمد سنڌي
|نواب احمد خان لغاري
|احمد سائين خانڳڙھي
Fida Hussain Khan|استاد فدا حسين خان
|استاد يوسف کٽي
|اشرف منصور دائودپوٽو
|امام بخش شمس
|ميرزا امام علي بيگ
|امام ڏنو فقير
|امير بھادر ثاني
|علي نواز انڙ
|انور الدين جتوئي
|نديم ميراڻي
|امام غزالي جا خط
|انور بلوچ
Mai Jindo|مائي جندو
Francisco Alonso Martos|Francisco Alonso Martos
Jesús Martínez Verón|Jesús Martínez Verón
Joaquín de la Concha Alcalde|Joaquín de la Concha Alcalde
Felipe Medina Benjumea|Felipe Medina Benjumea
|شمس سومرو
Diwan Manna|ديوان منا
Dr. Abdul Ghafoor Memon|ڊاڪٽر عبدالغفور ميمڻ
Sapna Choudhary|سپنا چوڌري
Mohammed Al-Raqad|محمد الرقاد
Mai Allah Wassai|مائي الهه وسائي
Konstantina Sintzaniki|Konstantina Syntzanaki
Tamim ibn Zaid al-Utbi|تميم بن زيد عتبي
Tahira Safdar|طاهره صفدر
Tariq Banuri|طارق بنوري
Shankar Lalwani|شنڪر لالواڻي
|محمد بخش سميجو
|قاضي فيض محمد صديقي
Pinky Maidasani|پنڪي ميداساڻي
Jyoti Yadav|جيوتي يادو
Meh Parah|مهپارا
Rubeena Qureshi|روبينا قريشي
Gjergj Zefi|Gjergj Zefi
Linus Kvist|Linus Kvist
Erki Laanemäe|Erki Laanemäe
Ingram Cuff|Ingram Cuff
Nikita Stenkovoy|Nikita Stenkovoy
Maria Ögn Gudmundsdottir|Maria Ögn Gudmundsdottir
Cornelia Cyrus|Cornelia Cyrus
Ioulia Eremeeva|Ioulia Eremeeva
Julia Bradley|Julia Bradley
Simona Wagnerova|Simona Wagnerova
Sara Savino|Sara Savino
Florian Auer|Florian Auer
Emīls Cipulis|Emīls Cipulis
Marián Skupek|Marián Skupek
Adam Dobeš|Adam Dobeš
Mara Morell|Mara Morell
Dylan Sorensen|Dylan Sorensen
Jonas Oehmichen|Jonas Oehmichen
Julian Assange|جوليان اسانج
Charlie Chaplin|چارلي چپلن
Neil Armstrong|نيل آرمسٽرانگ
Lord Byron|جارج گورڊن بائرن
Johann Wolfgang von Goethe|گوئٽي
James Cook|جيمز ڪڪ
Avicenna|ابن سينا
Saladin|صلاح الدين ايوبي
John F. Kennedy|جان ايف ڪينيڊي
Honoré de Balzac|بالزاڪ
Dwight D. Eisenhower|آئزن هاور
Xi Jinping|شي جنپنگ
Donald Trump|ڊونلڊ ٽرمپ
Sabuktigin|سبڪتگين
Zoroaster|زرتشت
Omar Khayyám|عمر خيام
Thalis|ٿيلس
Giordano Bruno|جيورادنو برونو
Abd al-Malik ibn Marwan|عبد المالڪ ابن مروان
Pol Pot|پول پاٽ
Xuanzang|هيونسانگ
Umm Salama|ام سلمه
Rumi|رومي
Hermann Göring|ھرمان گوئرنگ
Idi Amin|عيدي امين
Asif Ali Zardari|آصف علي زرداري
Elia Kazan|ايليا ڪازان
Anas ibn Malik|انس بن مالڪ
Pericles|پيريڪلس
Anna Akhmatova|ائنا اخمتووا
George Berkeley|جارج برڪلي
Harold Lloyd|ھارولڊ لايڊ
Edward III of England|ايڊورڊ ٽيون
Muslim ibn al-Hajjaj|امام مسلم
Elisabeth of Bavaria|آسٽريا جي راڻي سيسي
Thomas Carlyle|ٿامس ڪارلائل
Imran Khan|عمران خان
Sarvepalli Radhakrishnan|ڊاڪٽر راڌا ڪرشنان
Tabu|تبو (اداڪارا)
Fuzûlî|فضيولي
John Ruskin|جان رسڪن
Jane Addams|جين ايڊمز
Rani Lakshmibai|جهانسي جي راڻي
Aurobindo Ghosh|شري اروبندو
Muhammad Zia-ul-Haq|محمد ضياء الحق
Mani|حڪيم ماني
Arundhati Roy|ارون ڌتي راءِ
Dianna Agron|ڊايانا ايليز ائگرون
Holly Madison|ھالي مئڊيسن
Asia Argento|آسيہ ارجينٽو
Charlotte Rampling|Charlotte Rampling
Ertuğrul Gazi|ارطغرل
Maria al-Qibtiyya|ماريه قبطيه
Sulayman ibn Abd al-Malik|سليمان ابن عبد المالڪ
Alice Walton|الائيس والٽن
Al-Nasa'i|امام نسائي
Nizam al-Mulk|نظام الملڪ
Megasthenes|ميگئسٿنيز
Faxian|فاھيان
M. N. Roy|ايم اين رائي
Abu al-Hasan al-Ash'ari|ابوالحسن الاشعري
Abdul Sattar Edhi|عبدالستار ايڌي
Muhammad Mian Soomro|محمد ميان سومرو
Abu'l-Fazl ibn Mubarak|ابو الفضل
Ibn al-Baitar|ابن بيطار
Abu Musa Ashaari|ابو موسا اشعري
Ruby Myers|روبي مائرز
Phoolan Devi|ڦولن ديوي
Meera|ميران
Jemima Goldsmith|جمائما گولڊ سمٿ
Aurangzeb|اورنگزيب عالمگير
Ulugh Beg|مرزا الغ بيگ
Runa Laila|رُونا ليليٰ
Joseph in Islam|يوسف عليہ السلام
Dara Shikoh|دارا شڪوه
Rashid Behbudov|راشد بهبودوف
Valmiki|والميڪي
J. Willard Marriott|جان ولرڊ ميريئٽ
Charles James Napier|چارلس نيپئر
Sachal Sarmast|سچل سرمست
Jim Walton|جِم والٽن
Asfandyar Wali Khan|اسفند يار ولي
Umm Kulthum|ام ڪلثوم
Abu Hudhaifah ibn al-Mughirah|ابو حذيفہ بن المغيره
Sonam Kapoor|سونم ڪپور
Nicolás Gómez Dávila|نڪولس گومز ڊيويلا
