Nicolaus Copernicus|ڪوپرنيڪس
Mir Qamar-ud-din Siddiqui, Chin Quilich  Khan, Nizam-ul-Mulk Asaf Jah|نواب آصف جاه
J. K. Rowling|جي .ڪي.رولنگ
Benedictus de Spinoza|برووخ اسپنوزا
Heinrich Heine|هينرڪ هائين
Oprah Winfrey|اوپرا ونفري
Muhammad ibn Abd al-Wahhab|محمد بن عبدالوهاب
Megawati Sukarnoputri|ميگا وتي سئڪارنو پوتري
Ruth Pfau|ڊاڪٽر رُٿ فائو
Niels Henrik Abel|نيئلس ھينرڪ ايبل
George Eliot|جارج ايليٽ
Rajneesh|اوشو
Deepika Padukone|ديپيڪا پدوڪون
Robert Clive|رابرٽ ڪلائيو
Al-Kindi|الڪندي
Margaret Mead|margret mead
Sheikh Mujibur Rahman|شيخ مجيب الرحمٰن
Ahmad ibn Hanbal|امام احمد بن حنبل
Edward Said|ايڊورڊ سعيد
Harsha|هرشورڌن
Gloria Gaynor|Gloria Gaynor
Muhammad al-Bukhari|امام بخاري
Al-Walid I|الوليد ابن عبد المالڪ
Liaquat Ali Khan|لياقت علي خان
Shahid Kapoor|شاهد ڪپور
Nusrat Bhutto|نصرت ڀٽو
Ibn Ishaq|ابن اسحاق
George Gissing|جارج گسنگ
Ahmad Faraz|احمد فراز
Fatima Jinnah|فاطمہ جناح
Jahanara Begum Sahib|جھان آرا بيگم
Kishore Kumar|ڪشور ڪمار
Fethullah Gülen|فتح الله گولن
Sultan Bahu|سلطان باھو
Aristobulus of Cassandreia|ارسطو بيولس
Muhammad Khan Junejo|محمد خان جوڻيجو
Abu'l-Faraj ibn al-Jawzi|ابن الجوزي
Lal Shahbaz Qalandar|لال شهباز قلندر
Atiqa Odho|عتيقه اوڍو
Qasem Soleimani|قاسم سليماني
Waraka ibn Nawfal|ورقا بن نوفل
Dr. Zakir Naik|ذاڪر نائيڪ
Kishore Mahbubani|किशोर महबूबानी
Malik Muhammad Jayasi|ملڪ محمد جائسي
Umm ul-Banin|ام البنين
Sergey Nikolayevich Lazarev|سرجي نيڪوولوچ لزاريف
Urvashi Butalia|اروشي بٽاليا
Yo Yo Honey Singh|يو يو هني سنگ
Ali Hujwiri|داتا گنج بخش
Hatim al-Tai|حاتم طائي
Manubhai Pancholi|منوڀائي پنچولي
Kate Grenville|ڪيٽ گرينول
Emraan Hashmi|عمران هاشمي
Rehmat Aziz Chitrali|رحمت عزیز چترالی
Syed Qaim Ali Shah|قائم علي شاهہ
Aitzaz Ahsan|اعتزاز احسن
Tarabai|تاراٻائي ڀوسلي
Ila Arun|ايلا ارون
Anarkali|انارڪلي
Reshma|ريشما
Ali Zafar|علي ظفر
Gurdas Maan|گرداس مان
Hadiqa Kiani|حديقه ڪياني
Hoshu Sheedi|هوش محمد شيدي
Ibrahim Zakzaky|شيخ ابراهيم زڪزڪي
Arif Yunus|عارف يونس
Abdul-Majid Bhurgri|عبدالماجد ڀرڳڙي
Abdullah Kadwani|عبدالله ڪڊواني
Adriaen Cornelisz Beeldemaker|Adriaen Cornelisz Beeldemaker
Aftab Shahban Mirani|آفتاب شعبان ميراڻي
Ahmad Hasan Dani|احمد حسن داني
Faqir Abdul Raheem Garhori|عبدالرحيم گرهوڙي
Imdad Ali Imam Ali Kazi|علامه آءِ آءِ قاضي
G. M. Syed|جي ايم سيد
Aiza Khan|عائزہ خان
Ali Muhammad Rashdi|علي محمد شاهه راشدي
Allama Ali Khan Abro|علامه علي خان ابڙِو
Annapurna Maharana|انا پرنا مھارانا
Asad Umer|اسد عمر
Babar Azam|بابر اعظم
Bano Qudsia|بانو قدسيه
Deen Mohammad|دين محمد وفائي
Elahi Bux Soomro|الاھي بخش سومرو
Ghous Ali Shah|غوث علي شاهه
Haseena Moin|حسينه معين
Akhtar Husain|ڊاڪٽر اختر حسين رائيپوري
Mir Bandeh Ali Khan Talpur|مير بنده علي خان ٽالپر
Muhammad Hafeez Qureshi|حفيظ قريشي
Nabi Bux Khan Baloch|نبي بخش خان بلوچ
Pir Ilahi Bux|پير الاھي بخش
Sabitri Chatterjee|سبيتري چيترجي
Sadruddin Hashwani|صدر الدين ھاشواڻي
Shah Inayat Shaheed|شاه عنايت
|شيخ حميدالدين ناگوري
Inayatullah Khan Mashriqi|علامہ عنايت الله مشرقي
Sucheta Dalal|سوچيتا دلال
Swaraj Prakash Gupta|ايس. پي. گپتا
Toru Dutt|تورو دت
Ubaidullah Sindhi|مولانا عبيدالله سنڌي
Umm Hakim bint Abdul Muttalib|بيضاء بنت عبد المطلب
'Awana ibn al-Hakam|حڪم بن عوانه ڪلبي
Jean-François Jarrige|زان فرانسوا جاريج
Zubaida Khanum|زبيده خانم
Tufail Niazi|طفيل نيازي
Belli Lalitha|بيلي لليٿا
Malini Awasthi|مالني اواسٿي
Asad Qaiser|اسد قیصر
Maia Makhateli|مايا مکاتلي
Thomas Velley|Thomas Velley
Ahmed Salim|احمد سليم
Sayyid Muhammad Al-Makki|سيد محمد مڪي
Ernest J. H. Mackay|ڊاڪٽر ارنيسٽ مئڪي
Sadiq Fakir|صادق فقير راڳي
Muhammad Mian Mansoor Ansari|مولانا منصور انصاري
Ashraf Abbasi|اشرف عباسي
Fazil Rahu|فاضل راهُو
Dirar ibn Abdul-Muttalib|ضراربن عبد المطلب
|آخوند احمد سانوڻي ھالائي
Mai Dhai|مائي ڌائي
Qandeel Baloch|قنديل بلوچ
Durr-e-Shahwar Syed|درشهوار سيد
Megha Akash|ميگها آڪاش
Qadir Bux Mitho|قادر بخش مٺو
Abdul Qadir Junejo|عبدالقادر جوڻيجو
|عزيز قاسماڻي
Taj Joyo|تاج جويو
|درويش محمد اسماعيل نظاماڻي
Taj Mahmood Amroti|مولانا تاج محمود امروٽي
|آغا ابراهيم شاهه
|آغا جان محمد خان
|ابراهيم خليل
|ابراهيم شاهه وڄڙي
|بدر ابڙو
|غلام ھالائي ابڙو
|ابو الحسن ڏاھري
|ابو العباس محمد بن محمد بن عبدالله وراق ديبلي
|اثير عبدالقادر شاھواڻي
|احمد بن محمد المنصوري
|احمد محمد قاضي
Akhtar Rind|اختر رند
Khalifa Muhammad Omar Waleed Khalifa Hafiz Abdulrahman Memon|اختر ھالائي
|استاد انور علي سانگي
|استاد امير علي خان
|استاد رسول بخش ڪلھوڙو
|استاد گامڻ خان
Ishaque Ahmed Ansari|اسحاق انصاري
|اسماعيل موندرو
Asghar Sindhi|اصغر سنڌي
|امام الدين ضامن
|امبر مھڪ
|امير بخش نظر سنڌي
|رفيق احمد انڍڙ
|محمد ملوڪ انڙ
|انور حسين صديقي
|انور ضياء عباسي
Anita Ghulam Ali|انيتا غلام علي
|اي. ايم. مسلم جيخانہ
|بابا نيڀراج
|باقر سنائي
|انور شاھ
sher miandad|شير ميانداد خان
Syed Abdullah Ali Shah|عبدالله شاهه
Sheema Kermani|شيما ڪرماني
Pablo Pintado|Pablo Pintado
Bodla Bahar|بودلو بهار
Abdullah Magsi|عبدالله مگسي
Nadir Alvarez|Nadir Alvarez
Arbab Zakaullah|ارباب ذڪاء الله
Frank Hauenschild|Frank Hauenschild
Sardar Ahmed Ali Khan Pitafi|احمد علي خان پتافي
Bahadur Khan Dahri|بھادر خان ڏاھري
Syed Nasir Hussain Shah|ناصر حسين شاهه
Fred Minnick|فريڊ منڪ
Manzoor Pashteen|منظور پشتین
Noor ul Huda Shah|نورالهدىٰ شاهه
Sylvia Hoffman|Sylvia Hoffman
Zainab Abbas|زينب عباس
Sayed Zulfiqar Abbas Bukhari|سيد ذلفي بخاري
Vasundhara Sirnate|وسنڌارا سرنيٽ
Natasha Badhwar|نتاشا بڌوار
Zeb-un-Nissa|زيب النسا (ڳائڻي)
Muhammad Siddique Musafir|محمد صديق مسافر
Liam Christie|Liam Christie
Keaan Van Venrooij|Keaan Van Venrooij
Cristina Michelle Mata Pitti|Cristina Michelle Mata Pitti
Nikola Levkov|Nikola Levkov
Virag Buzsaki|Virag Buzsaki
Jennifer Manefield|Jennifer Manefield
Caroline Payot-Podevin|Caroline Payot-Podevin
Rhonda Quick|Rhonda Quick
Letizia Giardinelli|Letizia Giardinelli
Valentina Poli|Valentina Poli
Maya Escolar|Maya Escolar
Simone Trafelet|Simone Trafelet
Tara Mulder|Tara Mulder
Cindy Bauwens|Cindy Bauwens
Gitana Gruodyte|Gitana Gruodyte
Ruth Ellway|Ruth Ellway
Moira Tarraran|Moira Tarraran
Carolyn Maxwell|Carolyn Maxwell
Juri Gatt|Juri Gatt
Ionuț Șișcanu|Ionuț Șișcanu
Natalia Jamróz|Natalia Jamróz
Sebastian Mitterer|Sebastian Mitterer
Phil Harres|Phil Harres
Jannis Maul|Jannis Maul
Barack Obama|بارڪ اوباما
Napoleon|نيپولين
Joseph Stalin|جوزف اسٽالن
Jawaharlal Nehru|جواهر لال نهرو
Michael Jackson|Michael Jackson
Miley Cyrus|مائلي سائرس
Larry Page|ليري پيج
Mustafa Kemal Atatürk|ڪمال اتاترڪ
Bill Gates|بل گيٽس
Voltaire|والٽئر
Al-Ghazali|امام غزالي
Andrew Cuomo|آندريو ڪيومو
Al-Biruni|البيروني
Maxim Gorki|ميڪسم گورڪي
Linus Torvalds|لينس ٽورويلڊس
Abdullah ibn Abdul-Muttalib|عبد الله بن عبد المطلب
Benazir Bhutto|بينظير ڀٽو
Friedrich Engels|فريڊرڪ اينگلس
Francis Bacon|فرانسس بيڪن
Emiliano Zapata|ايميليانو زاپاٽا
Khadija bint Khuwaylid|خديجه بنت خويلد
Rambhadracharya|رامڀڌرآچاريه
Vishwas Patil|وشواس پاٽيل
Anand Yadav|آنند يادو
Raja Pervaiz Ashraf|راجا پرویز اشرف
Sharon Stone|شيرون اسٽون
Stefan Zweig|اسٽيفن زويگ
John Keats|جان ڪيٽس
Empedocles|ايمپيڊوڪليز
Russell Crowe|رسل ڪرو
Amrita Sher-Gil|امريتا شير-گل
Iskander Mirza|اسڪندر مرزا
Lope de Vega|لوپ دي ويگا
Al-Masudi|ابو الحسن مسعودي
Batu Khan|باتو خان
Hasan ibn Ali|حسن ابن علي
Felipe VI of Spain|فيليپي ششم
Muhammad ibn Jarir al-Tabari|ابن جریر طبری
Nader Shah|نادر شاھ
Carrie Underwood|ڪيِري اَنڊَروُڊ
Rāhula|راهل
Jenny Shipley|جيني شپلي
Bilawal Bhutto Zardari|بلاول ڀٽو زرداري
Ameesha Patel|اميشا پٽيل
Eli Whitney|ايلاء وٽني
Abu Talib ibn ‘Abd al-Muttalib|ابو طالب
Marwan I|مروان ابن حاڪم
Nusrat Fateh Ali Khan|استاد نصرت فتح علي خان
Nasir al-Din al-Tusi|ابو جعفر طوسي
Muhammad al-Baqir|محمد باقر
C. Wright Mills|رائٽ ملز
Giovanni Pisano|جيوواني پيزانو
Elon Musk|ايلون مسڪ
Ranjit Singh Sandhu|رنجيت سنگھ
Duleep Singh|دليپ سنگھ
Abu Dawood|امام ابو دائود
Ashraf Ali Thanwi|مولانا اشرف علي ٿانوي
Aga Khan III|آغا خان ٽيون
Alexander Burnes|اليگزينڊر برنس
Rebel Wilson|ريبل ولسن
Ibn Hišām|عبدالملڪ بن ھشام
Annie Besant|ايني بيسنت
Ismail in Islam|اسماعيل عليہ السلام
Ebn Meskavayh|ابن مسڪويہ
Zhou Youguang|چائو يو گوانگ
Ansar Burney|انصار برني
Ernst Stojaspal|Ernst Stojaspal
Shibli Nomani|علامه شبلي نعماني
Babur|بابر بادشاهه
Sigmund Schenkling|سگمنڊ فرائيڊ
Henry Bartle Frere|بارٽل فريئر
Muhammad Husain Azad|محمد حسين آزاد
Zaynab bint Muhammad|زينب بنت محمد
Nergis Mavalvala|نرگس ماولوالا
Ramla bint Abi Sufyan|ام حبيبه
Ibn al-Faqih|ابن فقيھہ
Job in Islam|ايوب عليہ السلام
Amrita Singh|امرتا سنگھ
Qusai ibn Kilab|قصي
Emetullah Rabia Gülnûş Sultan|رابعه گلنوش سلطان
Bholabhai Patel|ڀولاڀائي پٽيل
Raghuveer Chaudhari|رگھووير چوڌري
Imrat Khan|امرت خان
Farid-ud-din Ganj Shakar|بابا فريد الدين گنج شڪر
Juan de Arespacochaga|Juan de Arespacochaga
Shoaib Malik|شعيب ملڪ
Zarina Wahab|زرينا وهاب
Hakim Ajmal Khan|حڪيم اجمل خان
Mushtaq Ahmad Yusufi|مشتاق احمد يوسفي
Hari Singh Nalwa|ھري سنگھ نلوه
Elīza Tīruma|Elīza Tīruma
Fatima Bhutto|فاطمه ڀٽو
Al-Qàssim ibn Issa|ابو دلف
Aarathi|آرتي (اداڪاره)
Abdul Rahim Nagori|عبدالرحيم ناگوري
Abol Hassan Ispahani|ابوالحسن اصفهاني
Allah Bux Soomro|الله بخش سومرو
Allah Jilai Bai|اللہ جلئي ٻائي
Aisha|عائشه
Arfana Mallah|عرفانه ملاح
Barkat Ali Khan|برڪت علي خان
Bebe Nanaki|بيبي نانڪي
Bedar Mnagrio|بيدار مڱريو محمد پريل
Dada Lekhraj|ﺩﺍﺩﺍ ﻟﻴﮑﺮﺍﺝ
Fahmida Hussain|ڊاڪٽر فهميده حسين
Farooq Sheikh|فاروق شيخ
Gopal Rai|گوپال راءِ ديشمک
Halimah Yacob|حليمہ بنت يعقوب
Hassam-ud-Din Rashidi|حسام الدين راشدي
Hayme Hatun|خيما خاتون
J. B. H. Wadia|جمشيد واڊيا
Jam Saqi|ڄام ساقي
Jamal Abro|جمال ابڙو
Kharak Singh|کڙڪ سنگھ
Mai Bhaghi|مائي ڀاڳي
Makhdoom Muhammad Zaman Talib-ul-Mola|طالب الموليٰ
|محمد ارشد القادري
Mian Ghulam Shah Kalhoro|ميان غلام شاهه
Abul Lais Siddiqui|پروفيسر ڊاڪٽر ابوالليث صديقي
Muhammad Ayub Khuhro|محمد ايوب کھڙو
Muhammad Ibrahim Joyo|محمد ابراهيم جويو
Nadia Gamal|ناديہ جمال
Qazi Fazlullah Ubaidullah|قاضي فضل الله
Riad Higazy|رياض حجازي
Roshan Ara Begum|روشن آرا
Sanam Marvi|صنم ماروي
Shafi Inamdar|شفيع انعامدار
Shahid Khaqan Abbasi|شاهد خاقان عباسي
Shaikh Ayaz|شيخ اياز
Shaina NC|شائينا نانا چوداساما
Shoma Chaudhury|شوما چوڌري
Tahira Syed|طاهره سيد
Tariq Jameel|طارق جميل
Tehmina Janjua|تهمينا جنجوعا
Usman Ali Isani|عثمان علي عيساڻي
Yar Muhammad Kalhoro|يار محمد ڪلهوڙو
Yousuf Salahuddin|يوسف صلاح الدين
Muhammad al-Mahdi.|محمد المھدي
Henry George Raverty|ايڇ. جي. راورٽي
Kamran Mirza|ڪامران مرزا
Azhar Ali|اظھر علي
Nalini Malani|ناليني ملاڻي
|حامد رضا
Abu Bakr Ahmad Haleem|پروفيسر ابوبڪر احمد حليم
Pedrito Martinez|Pedrito Martínez
Fatima Sana Shaikh|فاطما ثنا شيخ
Sajjad Shar|سجاد شر
Indira Kanwar|اندرا ڪنور
Nani Gopal Majumdar|اين. جي. مجمدار
Motilal Jotwani|موتي لال جوتواڻي
Bakhtawar Zardari Bhutto|بختاور ڀٽو زرداري
Alan Kurdi|آلان ڪردي
Akhtar Ali Ghulam Kazi|اختر علي جي قاضي
Quthum ibn Abdul-Muttalib|قثم بن عبد المطلب
Nikola Tvrtković|Nikola Tvrtković
Nadia Murad Basee|ناديه مراد
Agha Saleem|آغا سليم
Sikandar Ali Jogi|سڪندر علي جوڳي
José María Mendoza Ussía|José María Mendoza Ussía
Hakeem Fateh Mohammad Sehwani|فتح محمد سيوهاڻي
Mohammad Khan Majeedi|محمد خان مجيدي
Peter Schuchert|Peter Schuchert
|خير النساء جعفري
|نادر بيگ مرزا
|سجاد حيدر يلدرم
|مير فتح علي شاه
|عبدالرزاق سومرو
|نصرت ابڙو
|ممتاز بخاري
Zafar Kazmi|ظفر ڪاظمي
|آغا عبدالنبي عليگ
Ghulam Mustafa Abu|غلام مصطفيٰ ابڙو
|ابو البقا بکري
|ابو البقا
|مرزا اجمل بيگ
|احمد ابراھيم
|احمد خان اختر
|احمد خان گويو
|استاد مبارڪ علي خان
|اسحاق منڱريو
|اسلام ۽ عقليات
|اسماعيل راھو
Iqbal Jogi|اقبال جوڳي
|اقبال دل
|امام بخش امام زرداري
|امام بخش شاھ فدوي
Amjad Siraj|امجد سراج ميمڻ
|امر لغاري
|انور ھالائي
|بابا حاجي مير محمد
|بابا رامداس
|آزاد صوفي
|آزاد صوفي
Agha Siraj Khan Durrani|آغا سراج دراني
|ڪيهر شوڪت
|اختر انصاري اڪبر آبادي
Aziz Kingrani|عزيز ڪنگراڻي
José López Zanón|José López Zanón
Juan de Haro Piñar|Juan de Haro Piñar
Lucky Shah Sadar|لڪي شاھ صدر
Giovanni Battista Tocci|Giovanni Battista Tocci
Gaston Lecreux|Gaston Lecreux
Yasmine Gooneratne|ياسمين گوناريٽ
Ahed Al-Tamimi|عهد التميمي
Mian Ghulam Siddique Mekan|ميان غلام صديق
Prem Nath Bazaz|پريم ناٿ بزاز
Imran Ismail|عمران اسماعيل
Colin Huang|ڪولن ھئانگ
Mangla Sharma|منگلا شرما
Ayaz Gul|اياز گل
Naseem Thebo|نسيم ٿيٻو
Mumtaz Rashidi|ممتاز راشدي
Fakir Muhammad Lashari|فقير محمد لاشاري
Asad Ali Palijo|اسد علي پليجو
Luciano Méndez|Luciano Méndez
Anila Naz Soomro|انيلا ناز سومرو
Alekss Krasts|Alekss Krasts
Panagiotis Christopoulos-Cheller|Panagiotis Christopoulos-Cheller
Anastasios Kourmpetis|Anastasios Kourmpetis
Neftali Martinez|Neftali Martinez
Julie Hutsebaut|Julie Hutsebaut
Marina Khodchenkova|Marina Khodchenkova
Clarissa Breuer|Clarissa Breuer
Alena Popadova|Alena Popadova
Caroline Orens|Caroline Orens
Elisa Neri|Elisa Neri
Negringa Raudonite|Negringa Raudonite
Laurence Restoin|Laurence Restoin
Deborah Geentjens|Deborah Geentjens
Delphine Deschamps|Delphine Deschamps
Marie Kolarikova|Marie Kolarikova
Natascha Klewitz|Natascha Klewitz
Jozef Hušla|Jozef Hušla
Krists Lindenblats|Krists Lindenblats
Jung Hyun-woo|Jung Hyun-woo
Dominic Meinel|Dominic Meinel
