Camille Pissarro|कामीय पिसारो
Abdul Hamid II|दुसरा अब्दुल हमीद, ओस्मानी सम्राट
William Somerset Maugham|सॉमरसेट मॉम
James V of Scotland|जेम्स पाचवा
Park Geun-hye|पार्क ग्युन-हे
Mahasweta Devi|महाश्वेता देवी
Zane Grey|झेन ग्रे
Vincent Enyeama|विंसेंट एन्येमा
Joseph Yobo|जोसेफ योबो
Edgar Rice Burroughs|एडगर राइस बरोज
Rudolf II, Holy Roman Emperor|दुसरा रुडॉल्फ, पवित्र रोमन सम्राट
Ferdinand I, Holy Roman Emperor|फर्डिनांड पहिला, पवित्र रोमन सम्राट
Gong Li|कोंग ली
Holger Badstuber|हॉलगर बाडस्टुबर
Vidkun Quisling|व्हिडकुन क्विस्लिंग
Gunnar Myrdal|गुन्नार मर्डाल
Alfredo Stroessner|आल्फ्रेदो स्त्रॉसनर
Josiah Willard Gibbs|जोसियाह विलार्ड गिब्स
Danijel Pranjić|दानियेल प्रांझिक
Léopold Sédar Senghor|लियोपोल्ड सेदार सेंघोर
Viktor Frankl|विक्टर फ्रैंकल
Norman Borlaug|नॉर्मन बोरलॉग
John Singer Sargent|जॉन सिंगर सार्जंट
Louis Néel|लुई यूजेन फेलिक्स नेईल
Eugene Wigner|युजीन विग्नर
Russell Alan Hulse|रसेल अ‍ॅलन हल्से
Taishō|तैशो
Heydar Aliyev|हैदर अलियेव
Kirron Kher|किरण खेर
Aruna Irani|अरुणा इराणी
Manoj Bajpai|मनोज बाजपाई
Patrice de Mac-Mahon, Duke of Magenta|पॅत्रिस मॅकमहोन
Chulalongkorn|पाचवा राम
Carlos I of Portugal|कार्लोस पहिला
Mark Schwarzer|मार्क श्वार्झर
John Napier|जॉन नेपियर
Murad III|तिसरा मुराद, ओस्मानी सम्राट
Peter II of Russia|पीटर दुसरा
Hideki Tojo|हिदेकी तोजो
Alois Senefelder|अलॉइस सेनेफेल्डर
Alberto Moravia|आल्बेर्तो मोराव्हिया
Zosimus|पोप झोसिमस
William Shockley|विल्यम शॉकली
Ava Gardner|ॲव्हा गार्डनर
Girolamo Savonarola|गिरोलामो साव्होनारोला
Javier Hernández|हावियेर हर्नांदेझ बाल्काझार
Louis VIII of France|लुई आठवा, फ्रांस
Carlo Goldoni|कार्लो गोल्डोनी
Iajuddin Ahmed|इयाजुद्दीन अहमद
Gregory IV|पोप ग्रेगोरी चौथा
Roman Pavlyuchenko|रोमन पावल्युचेंको
Robert Frost|रॉबर्ट फ्रॉस्ट
Carl David Anderson|कार्ल डेव्हिड अँडरसन
Clement VIII|पोप क्लेमेंट आठवा
Henry James|हेन्री जेम्स
Nicholas III|पोप निकोलस तिसरा
Alexander II|पोप अलेक्झांडर दुसरा
Celestine IV|पोप सेलेस्टीन चौथा
Aishwarya R. Dhanush|ऐश्वर्या रजनीकांत
Jarno Trulli|यार्नो त्रुल्ली
Omar Bongo|ओमर बॉन्गो
Chaim Weizmann|चैम वाइझमन
Benedict III|पोप बेनेडिक्ट तिसरा
Dani Alves|डॅनियल अल्वेस
Pyotr Kapitsa|प्यॉत्र लियोनिदोविच कपित्सा
Ilya Repin|इल्या रेपिन
Honorius II|पोप ऑनरियस दुसरा
Giovanni van Bronckhorst|जियोव्हानी व्हान ब्राँकहोर्स्ट
Katie Holmes|केटी होम्स
Lakhdar Belloumi|लख्दर बेलूमी
Johannes Kleiman|योहान्स क्लिमन
Mikhail Botvinnik|मिखाइल बोट्विनिक
Helen Clark|हेलन क्लार्क
Alexis Sánchez|एलेक्सिस सांचेझ
Nicolás Otamendi|निकोलास ओटमेंडी
Valdis Zatlers|व्हाल्दिस झॅटलर्स
Ramakrishna|रामकृष्ण परमहंस
Charles I of Spain|कार्लोस चौथा
Judit Polgár|ज्युडिट पोल्गार
Edward Mills Purcell|एडवर्ड मिल्स पर्सेल
Fred Hoyle|फ्रेड हॉयल
Ivan V of Russia|आयव्हन पाचवा
Franjo Tuđman|फ्रान्यो तुडमन
Claude Makélélé|क्लॉड मॅकेलेले
Martin Sheen|मार्टिन शीन
Walter Houser Brattain|वॉल्टर हाउझर ब्रॅटैन
Joe Cole|ज्यो कोल
Edgar Davids|एडगर डेव्हिड्स
Dennis Bergkamp|डेनिस बर्गकँप
John Kenneth Galbraith|जॉन केनेथ गालब्रेथ
