Martin Heisenberg|ਮਾਰਟਿਨ ਹੀਜ਼ਨਬਰਗ
Mirza Ghalib|ਮਿਰਜ਼ਾ ਗ਼ਾਲਿਬ
Gregory Peck|ਗ੍ਰੈਗਰੀ ਪੈੱਕ
Howard Zinn|ਹਾਵਰਡ ਜਿਨ
Anne of Great Britain|ਐਨ, ਗ੍ਰੇਟ ਬ੍ਰਿਟੇਨ ਦੀ ਰਾਣੀ
Sailen Manna|ਸਾਈਲੇਨ ਮੰਨਾ
Krishnadevaraya|ਕ੍ਰਿਸ਼ਨ ਦੇਵ ਰਾਏ
Alfred Werner|ਐਲਫਰਡ ਵਰਨਰ
Johanna Spyri|ਜੋਹਾਨਾ ਸਪਾਇਰੀ
Steve Irwin|ਸਟੀਵ ਇਰਵਿਨ
Nagasena|ਨਾਗਸੇਨ
Frank Zappa|ਫ਼ਰੈਂਕ ਜ਼ਾਪਾ
Bahadur Shah Zafar|ਬਹਾਦੁਰ ਸ਼ਾਹ ਜ਼ਫਰ
Edward Heath|ਐਡਵਰਡ ਹੀਥ
François Rabelais|ਫਰਾਂਕੋਸ ਰਾਬੇਲਿਜ
Zulfiqar Ali Bhutto|ਜ਼ੁਲਫੀਕਾਰ ਅਲੀ ਭੁੱਟੋ
Humphry Davy|ਹੰਫ਼ਰੀ ਡੇਵੀ
Sania Mirza|ਸਾਨੀਆ ਮਿਰਜ਼ਾ
Modest Petrovich Mussorgsky|ਪੇਤਰੋਵਿਚ ਮੁਸੋਰਗਸਕੀ
Frans Eemil Sillanpää|ਫ਼ਰੰਸ ਏਮੀਲ ਸਿਲੰਪਾ
Sylvia Plath|ਸਿਲਵੀਆ ਪਲਾਥ
Mohamed ElBaradei|ਮੁਹੰਮਦ ਮੁਸਤਫਾ ਐਲਬਰਡੇਈ
Nawaz Sharif|ਨਵਾਜ਼ ਸ਼ਰੀਫ਼
Magic Johnson|ਮੈਜਿਕ ਜੌਨਸਨ
Yukio Mishima|ਯੂਕੀਓ ਮਿਸ਼ੀਮਾ
Erik Axel Karlfeldt|ਏਰਿਕ ਐਕਸਲ ਕਾਰਲਫੈਲਡਟ
Danny Boyle|ਡੈਨੀ ਬੋਏਅਲ
Mahasweta Devi|ਮਹਾਸਵੇਤਾ ਦੇਵੀ
Baby Halder|ਬੇਬੀ ਹਲਦਰ
Gunnar Myrdal|ਗੁੰਨਾਰ ਮਿਰਦਲ
Albert Bandura|ਅਲਬਰਟ ਬੈਂਡੂਰਾ
Martin Niemöller|ਮਾਰਟਿਨ ਨੀਮੋਲਰ
Multatuli|ਮੁਲਤਾਤੁਲੀ
Francis Bacon|ਫ਼ਰਾਂਸਿਸ ਬੇਕਨ (ਕਲਾਕਾਰ)
Léopold Sédar Senghor|ਲੀਓਪੋਲਡ ਸੈਨਘੋਰ
Norman Borlaug|ਨੌਰਮਨ ਬੋਰਲੌਗ
Eugene Wigner|ਯੂਜੀਨ ਵਿੱਗਨਰ
Kirron Kher|ਕਿਰਨ ਖੇਰ
Aruna Irani|ਅਰੁਣਾ ਇਰਾਨੀ
Manoj Bajpai|ਮਨੋਜ ਵਾਜਪਾਈ
John Napier|ਜਾਹਨ ਨੇਪੀਅਰ
Mark Rothko|ਮਾਰਕ ਰੋਥਕੋ
Angela Davis|ਏਂਜੇਲਾ ਡੇਵਿਸ
Al-Farabi|ਅਲ-ਫ਼ਾਰਾਬੀ
Edward Gibbon|ਐਡਵਰਡ ਗਿਬਨ
William Shockley|ਵਿਲੀਅਮ ਸ਼ੌਕਲੀ
Alexander Borodin|ਐਲਗਜ਼ੈਡਰ ਬੋਰੋਡਿਨ
Paulo Freire|ਪਾਓਲੋ ਫਰੇਰੇ
Mary Carey|ਮੈਰੀ ਕੇਰੀ
Robert Frost|ਰੋਬੇਰਟ ਫਰੋਸਟ
Henry James|ਹੈਨਰੀ ਜੇਮਜ਼
T. E. Lawrence|ਟੀ. ਈ ਲੌਰੈਂਸ
Philip K. Dick|ਫਿਲਿਪ ਕੇ ਡਿੱਕ
Bāṇabhaṭṭa|ਬਾਣਭੱਟ
Aishwarya R. Dhanush|ਐਸ਼ਵਰਿਆ ਆਰ. ਧਾਨੁਸ਼
Aleister Crowley|ਐਲੇਸਟਰ ਕ੍ਰੌਲੀ
Ilya Repin|ਇਲੀਆ ਰੇਪਿਨ
Jean Tirole|ਯਾਂ ਤਿਰੋਲ
Peter Sellers|ਪੀਟਰ ਸੈਲਰਸ
Roland Barthes|ਰੋਲਾਂ ਬਾਰਥ
Atahualpa|ਅਟਾਹੁਆਲਪਾ
Mark Spitz|ਮਾਰਕ ਸਪਿਟਜ਼
Ursula K. Le Guin|ਉਰਸੁਲਾ ਕੇ. ਲੇ ਗੁਇਨ
Wilt Chamberlain|ਵਿਲਟ ਚੈਂਬਰਲੈਨ
Shirley Temple|ਸ਼ਰਲੀ ਟੈਂਪਲ
Ramakrishna|ਰਾਮਕ੍ਰਿਸ਼ਨ ਪਰਮਹੰਸ
Georges Danton jajajjajaj|ਜਾਰਜਸ ਡੈਂਟਨ
Anne Rice|ਐਨ ਰਾਈਸ
Sardul Singh Kwatra|ਸਰਦੂਲ ਸਿੰਘ ਕਵਾਤਰਾ
Pitbull|ਪਿਟਬੁਲ
Lucan|ਲੂਕਾਨਸ
Preity Zinta|ਪ੍ਰੀਤੀ ਜ਼ਿੰਟਾ
E. M. Forster|ਈ ਐਮ ਫੋਰਸਟਰ
Ivan Goncharov|ਇਵਾਨ ਗੋਂਚਾਰੇਵ
Randal Cremer|ਵਿਲੀਅਮ ਰਾਂਡਾਲ ਕ੍ਰੇਮਰ
Ayub Khan|ਅਯੂਬ ਖਾਨ
Rachel McAdams|ਰੇਚਲ ਮਿਕੈਡਮਸ
Fredrik Bajer|ਫ਼੍ਰੈਡ੍ਰਿਕ ਬਾਜਰ
Edward Sapir|ਐਡਵਰਡ ਸਪੀਅਰ
Peter Ware Higgs|ਪੀਟਰ ਹਿਗਜ਼
Benedetto Croce|ਬੇਨੇਦਿਤੋ ਕਰੋਚੇ
Ilya Frank|ਇਲਿਆ ਫਰੈਂਕ
Jean-François Lyotard|ਜੌਂ-ਫ਼ਰਾਂਸੁਆ ਲਿਓਤਾਰ
