Christiaan Eijkman|کرسچیناجک مین
Luke Wilson|لیوک ولسن
Gregory Peck|گریگری پیک
Thomas A. Steitz|تھامس اے. سٹیٹز
William Giauque|ولیم جیوک
Stanford Moore|سٹینفورڈ موری
Tjalling Koopmans|تجالنگ کوپمنس
Barbara O'Neil|باربرا اونیل
Fran Walsh|فران والش
Eduard Einstein|ایڈورڈ آئن سٹائن
Ibn Qayyim Al-Jawziyya|ابن قیم
Anne of Great Britain|آن، ملکہ برطانیہ عظمی
Sailen Manna|سائلین منا
Colonel Sanders|ہارلینڈ سینڈر
Charles II of England|چارلس دوم شاہ انگلستان
Alfred Werner|الفرڈ ورنر
Charles Édouard Guillaume|چارلس اڈوارڈ گلیاوم
Nicolaus I Bernoulli|نکولس برنولی اول
Nicolaus II Bernoulli|نکولس برنولی دوم
Mutaib bin Abdulaziz Al Saud|متعب بن عبدالعزیز آل سعود
Albert A. Michelson|البرٹ اے مچلسن
Frank Zappa|فرینک زاپا
Bahadur Shah Zafar|بہادر شاہ ظفر
Luke the Evangelist|لوقا
Xerxes I|خشیارشا اول
Zulfiqar Ali Bhutto|ذوالفقار علی بھٹو
Humphry Davy|سر ہمفری ڈیوی
George II of Great Britain|جورج دوم
Sania Mirza|ثانیہ مرزا
Frans Eemil Sillanpää|فرانس ایمل سلانپا
Susan Sarandon|سوزن سیرینڈن
Willem Barents|ولیم بیرنٹس
Mohamed ElBaradei|محمد البرادعی
Nawaz Sharif|نواز شریف
Louis VII of France|لوئی ہفتم
Ted Kennedy|ایڈورڈ کینیڈی
Erik Axel Karlfeldt|اریک ایکسل کارل فیلڈ
Abdul Hamid II|عبدالحمید ثانی
Elias James Corey|الیاس جیمز کورے
Sayed Murad Khan|سید مراد خان
Heather Vandeven|ہیدر واندیون
Park Geun-hye|پارک گیئون ہائے
Omar Hanoune|عمر حنون
Hussain Shah|حسین شاہ
Bahram-Shah of Ghazna|بہرام شاہ غزنوی
Arslan-Shah of Ghazna|ارسلان غزنوی
William Amherst, 1st Earl Amherst|ولیم ایمہرسٹ
Mahasweta Devi|ماہسوتا دیوی
Zalmay Khalilzad|زلمے خلیل زاد
Stephen Bright|سٹیفن برائٹ
Ardeshir Cowasjee|آردیشر کاؤسجی
Yang Liwei|یانگ لی وے
Edgar Rice Burroughs|ایڈگر رائس بورس
Kamal Abbas|کمال عباس
Nawara Negm|نوارہ نجم
Saint Giles|سینٹ گائیلز، لندن
Kamal Khalil|كمال خليل
Gihan Ibrahim|چيهان ابراهيم
Ali Alyami|علی الیامی
Wael Abbas|وائل عباس
Rudolf II, Holy Roman Emperor|رودلف 2 ہیبسبرگ
Gunnar Myrdal|گونر مائرڈل
Amānullāh Khān|امان اللہ خان
Oriana Fallaci|اوریانا فلاچی
Léopold Sédar Senghor|لئوپولڈ سیدار سینگور
Norman Borlaug|نارمن بورلاگ
César Milstein|سیسر میلسٹین
